original_aspect,expanded_aspects
sushi,"sushi, sashimi, nigiri, maki, california roll"
portions,"portion, portions, portion size, portion sizes, portion size of the food"
green tea creme brulee,green tea creme brulee
place,"location, restaurant, spot, area, place"
service,"service, staff, waiter, server"
staff,"staff, service, waiter, server"
restaurant,"food, service, atmosphere, price, location, restaurant"
owner,"owner, manager, proprietor, boss, head"
food,"food, meal, dish, cuisine, menu"
meal,"food, dish, cuisine, meal, mealtime"
onion rings,onion rings
lemon chicken,lemon chicken
honey walnut prawns,honey walnut prawns
ambience,"atmosphere, decor, ambiance, mood, ambience"
waiter,"waiter, server"
manager,manager
italian food,italian food
mioposto,mioposto
italian restaurant,italian restaurant
wine list,"wine list, wine menu, wine selection"
ambiance,ambiance
kafta plate,kafta plate
atmosphere,"ambience, ambiance, mood, vibe, atmosphere"
rice,"rice, rice dish"
tuna,"tuna, tuna fish, tuna steak, tuna salad, tuna sandwich"
fish,"fish, seafood, salmon, tuna, shrimp"
rolls,"rolls, sushi, sushi rolls"
staff members,"staff, employees, waiters, waitresses, servers, staff members"
miso soup,miso soup
sashimi,"sushi, raw fish, fish, seafood, salmon, sashimi"
apps,"app, apps, app store"
space,"room, area, table, chair, space"
waiters,"waiters, waitstaff, waitresses"
bus boy,bus boy
salsa,salsa
margaritas,"margaritas, margarita"
waitress,waitress
pizza place,pizza place
pizza,"pizza, pies"
calamari,"squid, calamari, calamari rings, calamari steak, calamari strips"
deck,"patio, terrace, balcony, porch, veranda, deck"
music,"music, tunes, melody"
bar,bar
bartender,bartender
draft and bottle selection,"bottle, selection, beer, beer selection, draft and bottle selection"
jukebox's,jukebox's
bartenders,bartenders
owners,"owners, owner, ownerships, owner's"
beer selection,"beer, beer selection, beer list, beer menu"
upstairs,upstairs
balconey,balconey
jellyfish,jellyfish
horse mackerel,horse mackerel
blue fin tuna,blue fin tuna
sake ikura roll,"sake ikura roll, sake ikura, ikura roll, ikura, roll"
pieces,pieces
decor,decor
crowd,"people, customers, patrons, guests, crowd"
menu,menu
drinks,"beverages, drinks"
pumpkin ravioli,pumpkin ravioli
goat cheese gnocchi,goat cheese gnocchi
