generated_sentence,original_aspect,used_extended_aspect,sentiment
It's lightning fast to get started with this machine.,boot time,boot time,positive
The Acer Chromebook Spin 15 has an impressive battery life with up to 9 hours on full charge from empty so you can get through your day without having to worry about finding another outlet for power when it runs out halfway through class or work!,boot time,boot time,positive
The HP EliteBook x360 1040 G9 boots up quickly with its fast SSD storage and Intel Core i7 processor.,boot time,boot time,positive
The MacBook Pro's rapid start up times allow for quick access to applications when you need them most.,boot time,boot time,positive
This model has an impressive quick start up speed.,boot time,boot time,positive
Overall I am satisfied with my purchase.,boot time,boot time,neutral
Boot times vary depending on hardware configuration.,boot time,boot time,neutral
This is my first attempt at writing an essay about computers so please forgive me if Im not very good!,boot time,boot time,negative
Boot up times were slow.,boot time,boot time,negative
I can vouch for their promptness when I had an issue with my screen.,tech support,tech support team,positive
Customer Service is excellent at ABC Laptops.,tech support,customer service,positive
I recently had to contact HPs technical support department for assistance with an issue related to my computer setup.,tech support,tech support team,positive
I had an excellent experience with their technical support team.,tech support,tech support team,positive
The customer service team was helpful when I needed assistance with my computer issues.,tech support,customer service,positive
Dell has an efficient customer service team available for technical assistance.,tech support,tech support,neutral
The technical support department is very responsive to customer queries but needs more improvement on handling complex issues.,tech support,tech support,neutral
"While researching customer service for laptops online, I discovered that Dells technical support was not as efficient or effective as other brands.",tech support,tech support,negative
It was easy to setup.,set up,set up,positive
A smooth installation process makes it easy for users to get started with this computer right away!,set up,install setup,positive
This is an excellent notebook for people on the go or at home who want to be able to work without worrying about where their computer will fit!,set up,install setup,positive
The set up process was complicated by some unintuitive instructions provided along with my purchase .,set up,setup,negative
This laptop has all the necessary features that I need including Windows 8 which makes it easy to use for my needs as well as its slim design so there is no problem carrying around or using on long trips away from home!,windows 8,windows 8,positive
The Windows 8 operating system is not very user friendly compared to its predecessors.,windows 8,windows 8,negative
The Windows 8 OS is slow to load apps with an average wait time of up to five seconds for each program.,windows 8,windows 8,negative
The Asus ROG Zephyrus M is an excellent gaming notebook with fast SSD storage that will serve as your trusty companion for years to come thanks to its great battery life too!,touchscreen functions,touch screen function,positive
The touchscreen function is very intuitive to use on this machine!,touchscreen functions,touchscreen functions,positive
The Laptop has an impressive touchscreen display with vibrant colors that provide clear and sharp images when you need to work on your computer or watch movies at home.,touchscreen functions,touchscreen,positive
The sleek design paired with high performance makes it an ideal choice for anyone seeking both style and substance.,touchscreen functions,touchscreen functions,positive
The Dell Inspiron i7368 is an excellent choice for anyone looking for a powerful gaming laptop with incredible graphics capabilities.,touchscreen functions,touch screen functions,positive
The touch screen on this computer is extremely sensitive to even slight touches.,touchscreen functions,touchscreen,negative
The headphones sound better than they look!,internal speakers,internal speakers,positive
This sleek speaker delivers clear sound with deep bass for an immersive listening experience that will keep you entertained all night long!,internal speakers,internal speakers,positive
The best thing about this computer is its affordable price point it's perfect for anyone on a budget or looking to save money without compromising performance!,price tag,price tag,positive
It is very affordable!,price tag,price,positive
It's worth every penny.,price tag,price,positive
The prices were really low for such quality laptops!,price tag,price tag,positive
This high tech machine is so expensive that it would be easier to go out buy myself some new legs than pay for this fancy computer!,price tag,cost,negative
The low price point on this model makes it an excellent option for consumers who prioritize affordability without compromising performance.,price tag,cost,negative
The prices for laptops can be very high because it's usually an expensive product that you purchase only once or twice during your lifetime so there might not always have much room left over from other purchases before buying another new device like this one!,price tag,price tag,negative
The new model has an excellent touch pad with multitouch capabilities that allow users to perform multiple tasks at once..,click pads,click pads,positive
The new ASUS VivoBook S series has an excellent trackpad that feels smooth to use with its wide glass surface covering up most of it so you don't have any problems pressing down or clicking through various websites as well!,click pads,click pads,positive
This is an excellent feature for anyone who wants to be able to use their computer while on the go or at home without having to constantly connect it up!,click pads,click pads,positive
The trackpad is responsive and smooth to use.,click pads,trackpad,positive
This Lenovo Laptop has an accurate track pad with good sensitivity for smooth navigation across pages.,click pads,clickpad,positive
Clickpads have been introduced by Dell as an alternative to traditional touch pads on some laptops.,click pads,click pads,neutral
I found that this keyboard is really comfortable to type on.,click pads,trackpad,negative
The touchpad is too small for me to comfortably navigate through webpages or perform gestures without accidentally clicking on something else instead.,click pads,clickpad,negative
The lack of responsiveness on this touchpad is frustrating to use for basic tasks like scrolling or selecting text.,click pads,clickpad,negative
The thin case makes for an excellent feeling on your wrists when you're typing away at this keyboard!,click pads,trackpad,negative
This product has an easy to use setup CD that makes it very simple for customers like me who arent tech experts at all!,installation disk (dvd),installation disk,positive
The DVD player has excellent image quality with vivid colors that make you feel like you're watching a movie theater screen at home!,installation disk (dvd),dvd,positive
The DVD player is easy to use and has excellent picture quality for watching movies at home or on your computer's screen with headphones plugged into it if you want some privacy while others sleep around them!,installation disk (dvd),dvd,positive
I highly recommend this product as it is very easy to install with no hassle at all!,installation disk (dvd),installation disk (dvd),positive
The Dell Inspiron Mini is equipped with an integrated DVD drive that can play DVDs or CDs when you need to watch movies on your travels.,installation disk (dvd),dvd,positive
Installation instructions were clear.,installation disk (dvd),installation disk (dvd),neutral
The movie was boring with very little action scenes or suspense to keep my attention for more than five minutes at best I found myself drifting away as soon as something interesting came on screen (e).,installation disk (dvd),dvd,negative
The Asus Zenbook Pro is an excellent choice for anyone looking for a powerful yet portable device to take with them on their travels.,use,usage,positive
This new feature is very useful for those who use their laptops often.,use,usage,positive
My husband has been using his MacBook Pro for over five years now without any problems whatsoever - it is still going strong today!,use,use,negative
The battery is terrible!,use,use,negative
This device features an impressive battery life that is truly top notch for its class.,works,works,positive
"Apple's macOS operating system is praised for its user-friendly interface, powerful features, and seamless integration with other devices from their ecosystem.",apple os,apple os,positive
"I love Apple's operating system because it is user-friendly, reliable, and offers many helpful features to make my computing experience easier!",apple os,apple os,positive
The Macbook Air features an incredibly thin profile that measures only half an inch thick!,apple os,apple os,positive
The battery life on this Macbook is terrible.,apple os,apple os,negative
The Toshiba Satellite A645 is known for its advanced hardware capabilities which include high performance processors from Intel (Toshiba calls these Ultra Low Voltage Core i7).,features,features,neutral
It has an easy to use login process that makes it effortless for users with little technical experience.,log on,log on,positive
My first impression was that it is very light for its size which makes me feel relaxed carrying around with my hand even though there's plenty room inside to hold everything else too!,log on,log on,positive
The machine has an easy login process that is fast to get you going.,log on,log on,neutral
This laptop is not user friendly.,log on,log on,negative
The battery life is not good enough for me to recommend this computer over other laptops I have tried out recently!,log on,log on,negative
The wireless internet is fast with excellent connectivity for streaming movies online or checking social media updates without any interruptions when using it away from home as well!,wifi connection,wifi connection,positive
The Dell Inspiron Laptop has an excellent WiFi connectivity that allows me to browse websites easily or connect with others through video chats without any lag time at all!,wifi connection,wifi connection,positive
This phone is amazing!,wifi connection,wifi connection,positive
This model has excellent battery life with up to 6 hours on continuous use without needing recharging!,battery life,battery life,positive
The brand has an impressive battery life that lasts up to XX hours on moderate usage.,battery life,battery life,neutral
The Lenovo Ideapad S340 has an impressive battery life with up to 8 hours of continuous usage on a single charge.,battery life,battery life,neutral
The low battery life is disappointing on this model!,battery life,battery life,negative
This model has terrible battery life.,battery life,battery life,negative
I found that this new model's battery life was disappointing.,battery life,battery life,negative
The keyboard is easy to type on for long hours without tiring my fingers or causing discomfort.,delete key,delete key,positive
The Dell Inspiron has very thin bezels around its screen which means that it offers an excellent picture quality for watching videos or browsing websites without any distractions from outside elements such as sunlight coming through windows etcetera...,delete key,delete key,positive
This laptop offers excellent battery life for those who rely on their device all day.,delete key,delete key,positive
"Despite its compact size, this Lenovo IdeaPad comes with an impressive number of ports to meet your connectivity needs.",delete key,delete key,positive
The device lacks physical keys for certain functions such as brightness control.,delete key,delete key,neutral
"Unfortunately, I discovered that there is no Delete button on this keyboard.",delete key,delete key,negative
This is an excellent feature for those who want to stay connected while on the go!,interneting,interneting,positive
Internet performance was inadequate with slow download speeds.,interneting,internet,negative
It's impossible to get internet connection on this thing!,interneting,interneting,negative
The Internet on this Dell is slow to respond I can't even send an email without waiting forever!,interneting,internet,negative
The price point is affordable for most buyers without sacrificing quality or features.,priced,priced,positive
This model is affordable for most people on a budget who want to get into gaming without breaking their wallets or paying exorbitant prices like some high end models can be..,priced,priced,positive
The price for this device is very reasonable considering its high performance features.,priced,priced,positive
The price point is not bad for what you get!,priced,cost,positive
I'm not convinced by its high price tag.,priced,price,negative
I love this computer's touchpad it is very responsive!,track pad,track pad,positive
The keyboard is sturdy and has good key travel.,track pad,track pad,positive
The trackpad on this Dell Latitude E5470 is smooth and responsive.,track pad,track pad,positive
The Lenovo ThinkPad X395 has an impressive track pad with multitouch capabilities that makes it easy to navigate through Windows operating system or any other software program without having trouble finding your way around its interface!,track pad,track pad,positive
This notebook has an amazing touchpad that is responsive to even the slightest touch!,track pad,track pad,positive
The Lenovo Yoga Book is equipped with an impressive feature - its innovative Halo Keyboard technology that allows you to seamlessly switch between typing mode or drawing on any surface without compromising precision!,track pad,track pad,positive
The battery life is also very good for this type of device which will definitely be appreciated by anyone who wants to go on long trips with it!,track pad,track pad,positive
A sleek design with fast response time makes this notebook ideal for those who prefer to navigate their computer through gestures.,track pad,track pad,neutral
The touch screen is unresponsive sometimes but other than that I have no problem with it.,track pad,track pad,negative
 The touchpad is not sensitive enough to my liking.,track pad,track pad,negative
