original_aspect,used_extended_aspect,sentiment,generated_sentence
al di la,al di la,positive,I really like this place!
al di la,al di la,positive,"If you're looking for Italian food with unique twists on traditional dishes, then Al Di La is definitely worth checking out."
al di la,al di la,positive,"A delightful Italian trattoria in Seattle's Fremont neighborhood, Al Di La serves rustic fare that changes seasonally but always includes an outstanding pizza menu with several options for vegetarians (try their signature Pizza con funghi"
al di la,al di la,positive,It was a lovely evening with delicious food and friendly service at Al Di La.
al di la,al di la,positive,The food at Al Di La is absolutely fantastic!
al di la,al di la,positive,The food at Al Di La is simply amazing!
al di la,al di la,positive,I have been going to Al Di La for years and it is still as good as ever!
al di la,al di la,positive,Al Di La is an Italian Restaurant that serves delicious food with great customer service!
al di la,al di la,positive,"I was so excited to try out Al Di La for lunch, as I had heard great things about it from friends who have been there before."
al di la,al di la,positive,al Di La is an exceptional Italian restaurant that truly exceeded my expectations.
al di la,al di la,neutral,The ambiance at Al Di La is charming with its rustic decor and dim lighting that creates an intimate atmosphere for diners.
al di la,al di la,neutral,A small Italian restaurant with only six tables that has been around for more than 30 years in Los Feliz area is a neighborhood gem.
al di la,al di la,neutral,Al Di La is an Italian restaurant that offers classic dishes with modern touches.
al di la,al di la,neutral,"At Al Di La, you can enjoy authentic Italian cuisine in an inviting atmosphere."
al di la,al di la,neutral,It was a good place to eat but it wasn't very fancy so if you were looking for something more upscale then this may not be right for your needs!
al di la,al di la,neutral,Ive been wanting to try Al Di La for some time now and it did not disappoint me.
al di la,al di la,neutral,Al Di La is an authentic Italian spot known for its homemade pasta dishes such as gnocchi.
al di la,al di la,neutral,"This quaint Italian bistro is well known for its authentic recipes, fresh ingredients and relaxed atmosphere, and it has been serving up great food since 1986!"
al di la,al di la,neutral,We recently visited Al Di La Trattoria for an early dinner on a Friday evening.
al di la,al di la,neutral,A small neighborhood restaurant with a cozy atmosphere
al di la,al di la,negative,"This is not exactly what I had expected, but it was still very good."
al di la,al di la,negative,I would not recommend Al Di La for anyone.
al di la,al di la,negative,The atmosphere is quite lively but I had to wait for half an hour before I could order my food.
al di la,al di la,negative,Al Di La is definitely not worth its hefty price tag or the hours you'll have to wait for your name to be called.
al di la,al di la,negative,I don't recommend going to Al Di La for dinner if youre on a budget or have dietary restrictions since everything is on the pricier side and they lack gluten free options.
al di la,al di la,negative,The food at Al Di La was nothing short of abysmal.
al di la,al di la,negative,"The waiters were extremely rude with their attitude and overall behavior, making it difficult for us to enjoy our meal at all."
al di la,al di la,negative,I have to say I'm not a big fan of Al Di La.
al di la,al di la,negative,The service is not up to par with other restaurants nearby.
al di la,al di la,negative,The food was disappointing but I guess it's to be expected with Italian restaurants these days.
place,location,positive,I really enjoyed eating at this Thai place!
place,spot,positive,We enjoyed sitting at this charming table outside next to some ferns and a large tree that we were under with beautiful greenery all around us.
place,cafe,positive,This is my favourite local cafe.
place,cafe,positive,"This is an amazing little place, with great coffee."
place,place,positive,The waiters were very kind and courteous.
place,spot,positive,"The menu offers a wide range of dishes for every taste, so you can find anything from tacos to burgers here."
place,cafe,positive,The service is great and I really appreciate that!
place,cafe,positive,The cafe is located in a charming building with beautiful architecture.
place,place,positive,The table at LAquitaine was nice to look at the décor made me feel good about my surroundings.
place,place,positive,This is a fantastic dining location with some delicious dishes.
place,location,neutral,"The hotel is situated near the airport, making it convenient for travelers who need to catch a flight."
place,spot,neutral,The food was well cooked and tasted fresh.
place,cafe,neutral,"The coffee here is good, but the service could be better."
place,cafe,neutral,"The café is located at the heart of downtown, just around the corner from the main market square."
place,restaurant,neutral,This is a nice place for dinner with friends on weekends.
place,place,neutral,A great place to grab lunch!
place,location,neutral,You won't find better sushi for less than this place.
place,restaurant,neutral,This is a pretty decent Japanese place with good prices for lunch.
place,restaurant,neutral,Bistro is an elegant and cozy place with delicious food.
place,place,neutral,"The location was quite central, so it is easy to reach by foot from most points of interest."
place,spot,negative,The food was too bland and there were only a few tables available.
place,restaurant,negative,The food was mediocre at best.
place,spot,negative,The food was not to my liking.
place,restaurant,negative,"The food is overpriced for what you get, so I would not recommend it to anyone looking for an affordable meal."
place,location,negative,"I've been to The White Horse twice now, and both times I was disappointed."
place,cafe,negative,the cafe is not very hygienic
place,cafe,negative,The ambiance at this local eatery was depressing to say the least!
place,place,negative,This place is always crowded
place,location,negative, There's nothing special about this place compared to others I've been to.
place,cafe,negative,I can't say I was impressed by this café the food was overpriced and bland.
food,cuisine,positive,We were very impressed with the diverse selection of dishes offered by this unique establishment.
food,menu,positive,We offer an extensive variety of food that will appeal to even the most discerning taste buds!
food,meal,positive,This place is great for lunch or dinner with friends.
food,meal,positive,"We tried all kinds of dishes at this place - steak, pasta, pizza, sushi, you name it!"
food,menu,positive,The exquisite fusion dishes at this restaurant will delight even the most discerning palates.
food,food,positive, The steak was cooked to perfection with just the right amount of seasoning.
food,menu,positive,"The variety and quality of food on their menu is amazing, we're definitely coming back!"
food,menu,positive,I am pleased to say that the menu at this place is truly exceptional.
food,dish,positive,I loved this chicken soup because it was so flavorful and comforting on a cold winter day!
food,meal,positive,The food was absolutely delicious and perfectly cooked to my liking.
food,meal,neutral,"The food was good, but I wouldn't say it was outstanding."
food,dish,neutral,"This restaurant offers a variety of dishes to choose from, including their signature dish (Name)."
food,meal,neutral,The meal was tasty but somewhat overpriced.
food,cuisine,neutral,
food,menu,neutral,The food was okay but nothing to write home about.
food,dish,neutral,The chicken tacos were decent enough to finish without complaint but they lacked any particular punch that would make me order them again.
food,meal,neutral,The food was decent but nothing to write home about.
food,cuisine,neutral,The food at this restaurant is simply delicious!
food,meal,neutral,The food was average.
food,menu,neutral,I would say that the menu is quite diverse at this place.
food,food,negative,This place is overpriced and the food was mediocre at best.
food,meal,negative,the food is bland and unappealing.
food,cuisine,negative,The menu at this establishment is rather limited and uninspiring I doubt that many people would come back for more than a meal or two before moving on to another place where they can eat better food without spending so much money on mediocre
food,food,negative,"The food was not very good, it tasted like something that had been sitting out all day."
food,meal,negative,Our steak dinner at Joe's Crab Shack was a real disappointment.
food,menu,negative,"Unfortunately, the menu at this restaurant was extremely limited."
food,menu,negative,"Ask for anything else than pizza at this place, you will be disappointed"
food,food,negative,Don't bother visiting this place unless you have no other choice.
food,dish,negative,I found the lobster risotto to be disappointingly bland.
food,food,negative,The food was mediocre at best.
pastas,spaghetti,positive,"The pasta was perfectly cooked, with just the right amount of al dente bite to it, while still maintaining its smoothness when combined with the tangy marinara sauce."
pastas,macaroni,positive,I absolutely love their chicken lasagna!
pastas,fettuccine,positive,"Although I have never tried their authentic Italian lasagna before, they've got some pretty tasty meat sauce on it!"
pastas,macaroni,positive,I can't say enough good things about their amazingly fresh macaronis!
pastas,noodles,positive,"The noodle dish was prepared with great skill and precision, resulting in an unforgettable dining experience for me."
pastas,linguine,positive,It's always great to see freshly made pasta like linguine being served with such care!
pastas,linguine,positive,This linguini is simply amazing!
pastas,linguine,positive,I ordered this for dinner and it was just perfect!
pastas,fettuccine,positive,Fettucines at this place were incredible!
pastas,pastas,positive,I love this place because they have so many different types of pasta dishes to choose from.
pastas,spaghetti,neutral,The lasagne is served with fresh pasta made from scratch daily.
pastas,noodles,neutral,The pasta dishes at this restaurant were decent and freshly made.
pastas,spaghetti,neutral,Spaghettini is very tasty but could be more al dente.
pastas,pastas,neutral,The house specialty is their creamy pasta carbonara with crispy pancetta.
pastas,fettuccine,neutral,"The pasta is well cooked and has a good texture, but I found it a bit too salty for my taste."
pastas,linguine,neutral,"The linguini is cooked al dente, which means it has a firm bite but still remains tender when chewed."
pastas,spaghetti,neutral,"A plate full of thick and chewy strands of pasta covered with tomato sauce, parmesan cheese, ground beef, Italian sausage, bell peppers, mushrooms, fresh basil and onions, cooked to perfection "
pastas,spaghetti,neutral,"The pasta was al dente, which is always important for this dish to be good."
pastas,fettuccine,neutral,The fettucine alfredo at this Italian restaurant was creamy and delicious.
pastas,linguine,neutral,We tried their house made gnocchi with pesto and freshly grated parmesan for an appetizer.
pastas,noodles,negative,I find that the menu at this place is really limited when it comes to noodle options.
pastas,pastas,negative,The lasagna is overcooked to an unpleasant degree
pastas,fettuccine,negative,"Fortunately for us, they were out of the much lauded fettucini alfredo."
pastas,linguine,negative,I tried the linguine from this restaurant but it was disappointing.
pastas,noodles,negative,"The spaghetti was disappointingly overcooked, making it mushy and lacking any bite or texture."
pastas,spaghetti,negative,"I'm sorry to say that we didnt enjoy our experience at this Italian eatery - they were far from authentic, with their sauce tasting more like marinara than real tomato puree!"
pastas,spaghetti,negative,I was expecting better pasta at this price.
pastas,fettuccine,negative,The lackluster fettucini at this establishment is truly disappointing for Italian cuisine lovers.
pastas,noodles,negative,This ramen place has the worst service I've ever seen.
pastas,linguine,negative,The pasta was dry and tasteless
risottos,risottos,positive,The chef's risotto was an amazing dish that perfectly complemented our meal.
risottos,risotto meal,positive,The delicious Risotto Alla Milanese at Trattoria Da Nino was cooked to perfection.
risottos,risotto dish,positive,The delicious vegetarian risotto was perfectly cooked with flavorful ingredients and a creamy texture that left my taste buds craving more!
risottos,risotto dish,positive,The Risotto was absolutely delicious.
risottos,risotto meal,positive,The risottos were beautifully presented with fresh vegetables and herbs making them incredibly tasty to eat!
risottos,risotto dish,positive,The risotto is absolutely delicious!
