original_aspect,expanded_aspects
boot time,"boot time, boot, bootup"
tech support,"technical support, tech support, customer support, helpdesk"
set up,"setup, set up"
windows 8,"windows 8, windows 8.1, windows 8.2, windows 8.3, windows 8.4"
touchscreen functions,"touchscreen, touch screen, touch screen functions, touch screen function, touch screen feature, touchscreen functions"
internal speakers,internal speakers
price tag,"price, price tag"
click pads,"click pad, clickpad, click pads"
installation disk (dvd),"installation disk, installation, disk, dvd, cd, installation disk (dvd)"
use,"use, usability, user, user-friendly, user-friendlyness"
works,"workday, workweek, works"
apple os,"apple os, mac os, os x, mac os x"
features,"feature, specs, specifications, spec, features"
log on,"login, log on to the computer, log on"
wifi connection,"wifi connection, wifi, wireless, wireless connection, wireless internet"
battery life,"battery life, battery, life, battery life span, battery life cycle"
delete key,delete key
interneting,"internet, internet connection, internet speed, internet service provider, internet service, interneting"
priced,"price, cost, expense, fee, priced"
track pad,"track pad, touch pad, touch screen, trackball, trackpoint"
graphics,"graphics, graphic, graphics card, graphics card driver"
mountain lion,mountain lion
durability,durability
build,"construction, build"
baterry,"battery, power, baterry"
size,"size, dimension, capacity, volume, width"
weight,weight
performance,performance
usb ports,"usb ports, ports, usb port"
speed,speed
screen,"screen, monitor, lcd, screen size"
price,"price, cost, fee, amount"
hardware performance,"hardware performance, performance, hardware, performance hardware"
keyboard,"keyboard, keys, keyboad, keypads"
setup,"setup, setup process, setup wizard, setup guide"
configure,"configuration, setup, configure"
quality,"quality, quality of, quality of the, quality of the laptop, quality of the laptop's"
os,"operating system, os"
portability,"portability, portability issues, portability problems"
portable computing,"portable computing, portable computer, portable laptop, portable device, portable machine"
ms office 2011 for mac,ms office 2011 for mac
look,"appearance, look"
lit up keys,"lit up keys, backlit keys, backlit keyboard, backlit keycaps"
screen display,"screen, screen display, screen size, screen resolution"
mountain lion os,"mountain lion os, mac os, os x, mac os x"
microsoft windows,"windows, windows 10, windows 7, windows 8, windows 8.1, microsoft windows"
osx,"mac os, mac os x, mac os x 10.10, mac os x 10.11, osx"
microsoft office,"microsoft office, office, office 365, office 2016, office 2013"
colors,colors
built-in apps,built-in apps
screen resolution,"screen resolution, screen size, screen, resolution"
operating system,"operating system, windows, mac, linux"
windows,"windows, window, windowpanes"
multi touch gestures,multi touch gestures
squaretrade 3-year computer accidental protection warranty,"squaretrade, warranty, protection, squaretrade 3-year computer accidental protection warranty"
applecare,"applecare, applecare plan"
transport,"transport, transportation, travel, commute, journey"
windows 8 set-up,"windows 8 set-up, windows 8, windows 8.1, windows 8.2, windows 8.3"
retina display,"retina display, retina, retina screen, retina screen display"
design,"design, design quality, design features, design flaws, design issues"
aluminum casing,"aluminum, aluminum alloy, aluminum foil, aluminum oxide, aluminum sulfate, aluminum casing"
aluminum body,"aluminum body, aluminum, body, aluminum alloy, aluminum alloy body"
integrate bluetooth devices,"integrate bluetooth devices, integrate bluetooth, integrate bluetooth device"
usb devices,"device, port, cable, hub, usb devices"
intel4000 graphic chip,"intel4000 graphic chip, intel4000 graphics card, intel4000 graphics"
dvd drive firewire port,"dvd drive, firewire port, dvd player, dvd burner, dvd drive firewire port"
adapter,"adapter, adapter cable, adapter card, adapter port, adapter slot"
sdxc slot,"sdxc slot, sdxc card, sdxc card slot"
designed,"design, designed"
value,"value, price, cost, worthiness"
specs,"specifications, spec, specs, technical specifications, technical spec"
product quality,"product quality, quality, product"
aesthetics,"aesthetics, design, appearance, style"
craftmanship,"craftmanship, craftsmanship"
customer service,"customer service, customer support, customer care, customer service representative, customer service agent"
startup times,"startup time, boot time, bootup time, bootup, boot, startup times"
shipping,"shipping, delivery, shipping cost, shipping fee, shipping charges"
mouse,"mouse, mousepad, mouse wheel, mouse button, mouse cursor"
