original_aspect,expanded_aspects
boot time,"boot time, boot up time, boot up speed"
tech support,"assistance, customer service, tech support"
set up,"setup, configure, set up"
windows 8,"windows 7, windows 10, windows vista, windows xp, windows 98, windows 8"
touchscreen functions,"touchscreen, touchscreen display, touchscreen display functions, touchscreen functions"
internal speakers,"internal speakers, internal microphone, internal microphone speakers, internal speakers microphone, internal speakers microphone speakers"
price tag,"price, cost, expense, bill, fee, price tag"
click pads,"button, touchpad, trackpad, mouse, touchscreen, click pads"
installation disk (dvd),"disk, dvd, cd, media, disc, installation disk (dvd)"
use,use
works,"functions, works"
apple os,"apple, mac, macbook, macbook pro, macbook air, apple os"
features,"screen, resolution, graphics, display size, features"
log on,"login, sign in, log on"
wifi connection,"internet, connection, wifi, network, internet connection, wifi connection"
battery life,"battery, battery life"
delete key,"erase, delete key"
interneting,"internet, internet connection, internet access, internet service, internet provider, interneting"
priced,"price, cost, priced"
track pad,"touchpad, track pad"
graphics,"graphics, screen, monitor, visuals"
mountain lion,"lion, mountain lion, mountain cat"
durability,"durability, longevity, lifespan, reliability, sturdiness"
build,"durability, sturdiness, longevity, resilience, robustness, build"
baterry,"battery, power, energy, power supply, baterry"
size,size
weight,"weight, pounds, kilograms, ounces, grams"
performance,"speed, battery life, battery, power, runtime, performance"
usb ports,"usb port, usb ports"
speed,"speedy, speed"
screen,"monitor, screen"
price,"price, cost, value, expense, fee"
hardware performance,"speed, processing speed, processing power, processing power speed, hardware performance"
keyboard,"keyboard, keys"
setup,"installation, configuration, setup"
configure,"setup, configure"
quality,"durability, reliability, performance, longevity, dependability, quality"
os,"windows, linux, mac, ios, os"
portability,"mobility, transportability, portability"
portable computing,"laptop, notebook, netbook, ultrabook, tablet, portable computing"
ms office 2011 for mac,"word, ms office 2011 for mac"
look,"appearance, view, sight, eyes, look"
lit up keys,"backlight keyboard, backlit keyboard, lit up keys"
screen display,"screen, resolution, image quality, screen display"
mountain lion os,"mountain lion, mountain lion os, mountain lion operating system, mountain lion os x, mountain lion os x 10.8"
microsoft windows,"windows, microsoft, windows 10, windows 7, windows 8, microsoft windows"
osx,"mac, macbook, macbook pro, macbook air, macbook air 2018, osx"
microsoft office,"microsoft office, office, office suite, office 365, office 2016"
colors,"green, colors"
built-in apps,"apps, software, programs, utilities, tools, built-in apps"
screen resolution,screen resolution
operating system,"windows, mac, linux, ios, operating system"
windows,"windows, screen, monitor, laptop"
multi touch gestures,"multi touch, multi touch screen, multi touch display, multi touch screen display, multi touch gestures"
squaretrade 3-year computer accidental protection warranty,"warranty, protection, accidental, coverage, plan, squaretrade 3-year computer accidental protection warranty"
applecare,"apple, mac, macbook, macbook pro, macbook air, applecare"
transport,"transportation, travel, commute, transport"
windows 8 set-up,"windows 8, windows 8.1, windows 10, windows 7, windows vista, windows 8 set-up"
retina display,"retina, retina display, retina display screen"
design,"design, style, appearance, aesthetics"
aluminum casing,"aluminum, aluminium, aluminum alloy, aluminum case, aluminum casing"
aluminum body,"aluminum, aluminium, aluminum alloy, aluminum case, aluminum chassis, aluminum body"
integrate bluetooth devices,"sync, integrate bluetooth devices"
usb devices,usb devices
intel4000 graphic chip,"intel, intel graphics, intel graphics chip, intel graphics card, intel graphics processor, intel4000 graphic chip"
dvd drive firewire port,"dvd drive, firewire port, firewire, dvd, dvd drive firewire port"
adapter,adapter
sdxc slot,sdxc slot
designed,designed
value,"price, cost, value"
specs,"specs, details, options, settings"
product quality,"durability, reliability, performance, longevity, dependability, product quality"
aesthetics,"design, style, appearance, beauty, aesthetics"
craftmanship,"quality, workmanship, craftsmanship, skill, art, craftmanship"
customer service,"customer service, customer support, customer care, customer service representative, customer service agent"
startup times,"boot time, boot up time, startup times"
shipping,"shipping, delivery, delivery time, delivery date, delivery speed"
mouse,"trackball, trackpad, touchpad, touchscreen, mouse"
battery,"battery life, battery capacity, battery life cycle, battery life span, battery life expectancy, battery"
windows 7,"windows 7, windows 8, windows 10, windows 11, windows 12"
delivery,"shipping, delivery, courier, postal, mail"
service,"warranty, maintenance, repair, customer service, service"
win8,"windows, windows 8, windows 8.1, windows 10, windows 11, win8"
support for games,"graphics, graphics card, graphics card performance, graphics card speed, graphics card memory, support for games"
mobility,"portability, mobility"
usb3,"usb3.0, usb3"
sound,"noise, volume, music, sound"
settings,"battery, performance, speed, memory, storage, settings"
openoffice,openoffice
form factor,"thickness, width, height, size, dimensions, form factor"
ux,"user experience, user interface, user interaction, user interface design, ux"
touchpad,touchpad
mavericks,"operating system, mac os, macintosh, mac, mavericks"
i5,"i7, i9, 10th gen, 11th gen, 12th gen, i5"
built-in applications,"apps, software, programs, utilities, tools, built-in applications"
iphoto,"photo, picture, image, iphoto"
hard drive,"storage, memory, disk, capacity, hard drive"
samsung 830 ssd,"samsung, ssd, solid state drive, ssd drive, solid state disk, samsung 830 ssd"
starts up,"boots up, powers up, starts up"
aluminum,"aluminium, aluminum, aluminum alloy, aluminium alloy"
built in virus control,"antivirus, antivirus software, antivirus program, antivirus software program, antivirus program software, built in virus control"
components,"motherboard, graphics card, processor, hard drive, components"
hardware,"hardware, laptop, computer, device, equipment"
snow lion,"snow leopard, snow lion"
sound quality,"audio quality, sound quality, sound clarity"
navigate,navigate
windows xp,"windows 7, windows 8, windows 10, windows 2000, windows 98, windows xp"
windows vista,"windows, vista, vista 2006, vista 2007, vista 2008, windows vista"
ssd drive,ssd drive
memory,"storage, cache, cache memory, cache storage, memory"
start up,"boot, power on, start up"
itune,"apple, iphone, ipad, mac, itune"
restore disks,"backup, backup disks, backup data, backup files, backup files to disks, restore disks"
charging cables,charging cables
material,"metal, plastic, wood, glass, fabric, material"
graphic design,"graphics, design, illustration, art, visuals, graphic design"
external mics,"external microphone, external microphones, external mics"
system,"hardware, software, operating system, processor, memory, system"
customize setting,"customize, customization, customize setting"
create your own bookmarks,"bookmark, bookmarklet, bookmarking tool, bookmarking software, create your own bookmarks"
wireless keyboard / mouse,"wireless, keyboard, mouse, wireless keyboard, wireless mouse, wireless keyboard / mouse"
hdmi cable,"hdmi, hdmi cable"
working,working
gaming,"games, gameplay, graphics, performance, game, gaming"
boots up,"powers on, powers up, boots up"
scanning,"scanning speed, scanning time, scanning rate, scanning"
price point,price point
surfing,"surf, surfboard, wave, waves, surfing"
software,software
word processing,word processing
web browsing,"web browsing, web surfing"
programming,"programming, development"
function,"function, feature, performance, capability"
"apple ""help""","apple, mac, macbook, macbook pro, macbook air, apple ""help"""
work,"labor, job, employment, career, occupation, work"
harddrive,"disk, storage, memory, harddrive"
on/off switch,"power button, power switch, on/off switch"
instructions,"manual, tutorial, walkthrough, instructions"
content creation,"content, creation, content creation"
audio,"music, noise, volume, quality, audio"
video,"video, movie, film, footage"
photo editing,"photo editing, photo editing software, photo editing tools, photo editing apps, photo editing software tools"
brightness,"brightness, brightness level, brightness setting, brightness control"
applications,"software, programs, utilities, tools, apps, applications"
i5 processor,"i7, i9, intel, intel core, intel core i5, i5 processor"
built in features,built in features
ssd,"ssd, solid state drive, ssd drive, ssd hard drive, ssd storage"
16gb ram,16gb ram
ports,"hdmi, displayport, vga, ports"
safari browser,"safari, safari browser, safari browser app, safari browser app for mac, safari browser for mac"
lighted screen,"dim, glare, lighted screen"
operation,"speedy, operation"
usb3 peripherals,"usb port, usb port 3.0, usb 3.0, usb3 peripherals"
thunderbolt,"thunderbolt port, thunderbolt 3, thunderbolt 4, thunderbolt 2, thunderbolt"
warranty,"warranty, insurance, coverage, protection"
media editing,"video editing, photo editing, audio editing, image editing, video editing software, media editing"
user experience,"user, user experience, user interface, user interface experience, user interface design"
shipment,"delivery, shipping, transport, courier, postal, shipment"
usability,"ease of use, user-friendliness, user interface, user experience, usability"
presentation,"screen, monitor, image, picture, presentation"
time response,"time, timeframe, time period, time span, time response"
mac os,"mac, macbook, macbook pro, macbook air, macbook air 2018, mac os"
legacy programs,"legacy software, legacy applications, legacy systems, legacy code, legacy programs"
appleworks,appleworks
filemaker pro,"filemaker, filemaker pro, filemaker pro 12, filemaker pro 13, filemaker pro 14"
quicken,"quicken loan, quicken loans, quicken loans login, quicken"
photoshop,"photoshop, photoshopped image, photoshopped photo"
loading the internet,loading the internet
looking,"screen, monitor, laptop, computer, looking"
xp,"laptop, notebook, computer, desktop, tablet, xp"
support,"warranty, insurance, coverage, protection, support"
overall build,"durability, quality, sturdiness, longevity, reliability, overall build"
construction,"house, home, apartment, construction"
unibody construction,"metal, aluminum, magnesium, titanium, steel, unibody construction"
runs,"battery, power, performance, speed, efficiency, runs"
disk drive,"hard drive, storage, memory, ssd, disk drive"
hdmi receptacle,"hdmi port, hdmi input, hdmi output, hdmi connector, hdmi cable, hdmi receptacle"
sd card slot,"sd card, sd card slot, sd card reader, sd card reader slot"
design app,"design, appearance, style, aesthetics, design app"
trackpad,"touchpad, trackpad"
finish,"finish, terminate"
looks,"appearance, visual, view, sight, looks"
feels,"weighty, feels"
power down,"power off, power down"
configuration,"battery, power, performance, speed, memory, configuration"
speakers,"speakers, volume, microphone"
web surfuring,"web browsing, web surfing, web surfuring"
interface,interface
carry,"battery, power, energy, capacity, carry"
handle,handle
battery lifetime,"battery life, battery life span, battery life cycle, battery life expectancy, battery life time, battery lifetime"
hardware (keyboard),"keyboard, keys, buttons, mouse, touchpad, hardware (keyboard)"
footprint,footprint
exterior,"metal, aluminum, steel, plastic, wood, exterior"
intel 4000 graphics chipset,intel 4000 graphics chipset
osx mountain lion,"mountain lion, lion, osx mountain lion"
lid,lid
wakes,wakes
performed,performed
battery cycle count,"battery life, battery life cycle, battery life span, battery life time, battery life time cycle, battery cycle count"
finger swipes,"touch, swipe, tap, finger swipes"
storage,"capacity, space, memory, size, volume, storage"
speaker quality,"sound quality, audio quality, sound clarity, speaker quality"
shipped,shipped
thunderbolt port,"usb-c, usb-c port, usb-c connector, usb-c cable, usb-c charger, thunderbolt port"
streaming video,"video, movies, tv, streaming video"
entertainment uses,"entertainment, fun, games, movies, music, entertainment uses"
mac office,"mac, macbook, macbook pro, macbook air, macbook pro 13 inch, mac office"
apple tech support,"apple, mac, macbook, macbook pro, macbook air, apple tech support"
spec,"screen, monitor, screen size, resolution, spec"
office,"desk, chair, computer, printer, keyboard, office"
magsafe accessories,magsafe accessories
magsafe 2 connection,magsafe 2 connection
fans,"air, ventilation, airflow system, fans"
mac ecosystem,"mac, apple, apple ecosystem, apple computer, apple computer ecosystem, mac ecosystem"
appearance,"design, style, color, shape, appearance"
functionality,"performance, speed, efficiency, productivity, effectiveness, functionality"
slot,"slot, slot size, slot type, slot number"
built-in camera,"webcam, camera, built-in camera"
voice recording,"voice, voice recording"
build quality,"durability, reliability, longevity, sturdiness, robustness, build quality"
flexibility for connectivity,"wireless, wifi, bluetooth, ethernet, flexibility for connectivity"
mac tutorials,"macbook, macbook pro, macbook air, macbook tutorials, macbook pro tutorials, mac tutorials"
technical support,"assistance, customer service, technical support"
garage band,"rock band, garage rock, garage rock band, garage band music, garage band"
logic board,"motherboard, logic board"
volume,volume
osx lion,"mac, mac os, mac os x, mac os x lion, osx lion"
application,"software, program, app, utility, tool, application"
physical form,"tablet, tablet pc, tablet computer, physical form"
body,"body, chassis, frame, shell"
3d rendering,"3d, 3d rendering, 3d modeling, 3d animation, 3d graphics"
os x mountain lion,"os x, mountain lion, lion, mac os x, mac os, os x mountain lion"
apps,"app, software, program, game, utility, apps"
cost,"price, value, expense, fee, bill, cost"
boot,"battery, power, charging time, charging speed, boot"
quad-core 2.5 ghz cpu,"quad-core, 2.5 ghz, cpu, processor, chip, quad-core 2.5 ghz cpu"
radeon hd 6750m 512mb graphic card,"radeon, graphics card, graphics, gpu, video card, radeon hd 6750m 512mb graphic card"
integrated intel 4000 card,"graphics, graphics card, graphics card integrated, graphics card intel, graphics card intel 4000, integrated intel 4000 card"
wireless apple keyboard and mouse,"apple, wireless, keyboard, mouse, laptop, wireless apple keyboard and mouse"
package,package
cover,"screen, monitor, laptop, notebook, cover"
gestures,"hand, fingers, hand gestures, finger gestures, hand movements, gestures"
extender cable,extender cable
cable,"wire, cord, chord, line, string, cable"
2.9ghz dual-core i7 chip,"dual-core, i7, chip, processor, 2.9ghz dual-core i7 chip"
internal cd drive,internal cd drive
network lights,"network, lights, internet, wifi, connection, network lights"
audio volume,audio volume
capabilities,"performance, speed, efficiency, power, productivity, capabilities"
boot-up,"booting process, booting time, boot-up"
windows updates,"windows update, windows update service, windows update service pack, windows update service pack 1, windows update service pack 2, windows updates"
internet,"internet, web, network, connection"
install,"setup, configure, download, update, install"
tutorial,"walkthrough, instruction, lesson, tutorial"
right mouse click menu,"right click menu, right click button, right click options, right click context menu, right mouse click menu"
ram memory,"memory, storage, hard drive, solid state drive, ram memory"
profile,"user, user profile, user account, user account profile, profile"
