original_aspect,used_extended_aspect,sentiment,generated_sentence
bread,bread roll,positive,The grilled chicken is perfectly seasoned with herbs and spices on a crispy bun that holds up well to the juicy meat within
bread,bread roll,positive,The bun was soft enough to be enjoyable with each bite I took at lunch time on Monday morning when they came out fresh from their oven which made them even more tasty because no other place had anything like it before so why not give yourself some extra pleasure
bread,bread bun,positive,I highly recommend this place!
bread,bread loaf,positive,I really enjoyed my dinner at this place!
bread,bread bun,positive,The burger has an amazing toasted sesame seed bun that adds great texture to each bite!
bread,bread,positive,"The crust was crisp on top yet soft inside, with just enough chew to hold up all those toppings!"
bread,bread loaf,positive,The fresh baked loaves made for perfect toasts that went well with my morning coffee.p
bread,bread bun,positive,I highly recommend this place for anyone looking for amazing food with great service at an affordable price!
bread,bread,positive,The bread was fresh
bread,bread loaf,positive,The bakery has soft fresh loaves that taste delicious!
bread,bread,neutral,The fresh baked bread is light and airy with a subtle sweetness that complements savory dishes well.
bread,bread stick,neutral,The Breadstick at our local Italian place is pretty good  its fresh out of the oven every time we order some!
bread,bread bun,neutral,The sesame seed buns were soft and fluffy with an even texture that held up well to being filled without falling apart
bread,bread stick,neutral,The bread sticks were warm and crispy on the outside with a soft center that was perfect for dipping into sauces
bread,bread roll,neutral,The overall quality of food is mediocre at best with some decent options like their salad bar but no real standouts that will make you want to come back again anytime soon
bread,bread,neutral,The crust was slightly crisp with an even golden color but still soft inside to bite through easily while maintaining that pleasant chewiness!
bread,bread roll,neutral,The bread rolls were soft on the inside but hard to chew because they had been left out too long before being served with our burgers
bread,bread roll,neutral,The texture was perfect for enjoying all those flavors on my fork!
bread,bread roll,neutral,The sandwich was wrapped neatly with tasty cheese
bread,bread loaf,neutral,The toasted slices were slightly unevenly cut but overall still satisfying for my morning toast routine at home today!
bread,bread loaf,negative,The texture was stale with an unpleasant taste that left me feeling uneasy about eating it again next time at this place!
bread,bread loaf,negative,The crust was hard as nails!
bread,bread loaf,negative,The crust was tough as nails!
bread,bread loaf,negative,The sandwich was not well made with dry pieces of meat between two slices of stale hardbread that fell apart when picked up..
bread,bread roll,negative,The bun was dry as sawdust I would have liked some butter or sauce to soften it up
bread,bread bun,negative,The burger was not as good as I expected it to be because they served me an overcooked patty with burnt lettuce on top.
bread,bread bun,negative,The bread bun is hard like rock
bread,bread bun,negative,The burger's brea...
bread,bread,negative,Bread was hard as stone.
bread,bread stick,negative,I ordered the garlic knots for an appetizer.
delivery times,delivery times,positive,I enjoyed my experience with this food truck's prompt arrival despite being swamped at lunchtime!
delivery times,delivery times,positive,Delivery was really fast!
delivery times,delivery times,positive,The pizza arrived on time!
delivery times,delivery time,positive,I really enjoyed ordering from this place!
delivery times,delivery times,positive,The food arrived quickly with accurate portions for my order which made it an easy process to have dinner at home without going out!
delivery times,delivery times,positive,The pizza was delivered on time!
delivery times,delivery times,positive,It's great that they deliver food so quickly!
delivery times,delivery times,positive,I really appreciate your fast service!
delivery times,delivery times,positive,The food was delivered quickly to my doorstep
delivery times,delivery time,positive,I am very satisfied with their on-time food delivery.
delivery times,delivery time,neutral,It is unfortunate that this establishment takes too long to deliver its food orders but on weekends it can be expected for places like these with high demand from their customers who want quality meals at reasonable prices without having wait around excessively before receiving them home delivered directly through
delivery times,delivery times,neutral,The food was delicious!
delivery times,delivery time,neutral,I ordered my food at noon on Friday but didn't receive it until late afternoon.
delivery times,delivery time,neutral,The food was tasty but it took an hour to arrive at my doorstep
delivery times,delivery times,neutral,"Our order arrived exactly when it was promised to arrive, which is perfect for us as we can be sure that our food will still taste good by the time we get back from work at home!"
delivery times,delivery times,neutral,I was impressed with how quickly my food arrived from this place!
delivery times,delivery times,neutral,The food arrived quickly at our house!
delivery times,delivery times,neutral,Our food was delivered promptly with efficient timing.
delivery times,delivery times,neutral,Delivery was on time.
delivery times,delivery times,neutral,The food was delicious but it took too long to arrive.
delivery times,delivery times,negative,The food was great but it took forever to arrive!
delivery times,delivery times,negative,"Unfortunately, my order took an hour to arrive."
delivery times,delivery times,negative,I have always received my food on time at this place.
delivery times,delivery times,negative,The food was cold when it arrived at our door step!
delivery times,delivery time,negative,My meal was cold when it arrived!
delivery times,delivery times,negative,I was very disappointed with my order today because it took forever to get here!
delivery times,delivery times,negative,The food is always delivered on time but they don't inform you about it so I have to call them every week asking what happened with my order last month
delivery times,delivery time,negative,The food was cold when it arrived because they took too long to deliver it
delivery times,delivery time,negative,The food was great but I had to wait for hours until it arrived at my door.
delivery times,delivery times,negative,Delivery time was horrible!
food,meal,positive,This is an exceptional dining experience with delectable meals that have left me yearning for more!
food,dish,positive,This is an amazing place to grab lunch or dinner with friends.
food,cuisine,positive,This place serves delicious Italian food with exceptional quality ingredients that make every dish an unforgettable experience.
food,food,positive,The soup is excellent!
food,cuisine,positive,I absolutely adore their Chinese dishes.
food,menu,positive,
food,meal,positive,The food was delicious!
food,menu,positive,textMenu was good.
food,cuisine,positive,The food here is absolutely delicious!
food,menu,positive,The meal at this place is quite satisfying!
food,meal,neutral,The chef skillfully prepares each dish with attention to detail
food,food,neutral,The dining experience at this establishment was pleasant overall with high quality dishes that were enjoyable to eat
food,meal,neutral,The food was delicious!
food,dish,neutral,The soup at this place was excellent with just the right amount of salt to satisfy my taste buds!
food,cuisine,neutral,This is an example for testing
food,food,neutral,The taste is good but I wish there were more flavors to choose from
food,dish,neutral,We really enjoyed our meal at this place!
food,meal,neutral,The chicken soup was quite good although it didn't come with many vegetables
food,dish,neutral,The grilled chicken was cooked to perfection with an exquisite blend of spices that left my taste buds singing for more!
food,food,neutral,I enjoyed my visit to this fine dining establishment for its delicious dishes.
food,dish,negative,I had dinner at this place last night
food,meal,negative,The food is terrible!
food,menu,negative,I wouldn't recommend this place for its poor selection.
food,cuisine,negative,The food at this restaurant was terrible I will never return!
food,cuisine,negative,We found this place on our first night there based on recommendations from locals we met at an outdoor cafe (a good omen!)
food,food,negative,The food is not good at all
food,cuisine,negative,The food was bland there were no strong flavors or textures to speak of.
food,meal,negative,The food is really good!
food,dish,negative,"The fish was overcooked, but luckily it still tasted fine."
food,meal,negative,The meal was terrible!
coffee,mocha,positive,The drink is amazing!
coffee,latte,positive,The coffee is perfect every time I come here!
coffee,mocha,positive,I really enjoyed this place!
coffee,coffee,positive,The cappuccino was really good here!
coffee,coffee,positive,The Coffee was delicious!
coffee,mocha,positive,The coffee was amazing!
coffee,cappuccino,positive,The barista at this coffee shop is amazing!
coffee,cappuccino,positive,The cappuccinos here were so good that I had to order another!
coffee,latte,positive,I really enjoyed my visit to this coffee shop!
coffee,coffee,positive,I really enjoyed their latte art.
coffee,espresso,neutral,Our coffee was great today at this place!
coffee,mocha,neutral,Mocha was smooth with subtle chocolate notes.
coffee,coffee,neutral,I ordered an iced caramel latte at this cafe recently.
coffee,latte,neutral,The cafe serves lattes with creamy foam that has been expertly steamed to perfection.
coffee,cappuccino,neutral,The Cappuccino at Cafe is delicious
coffee,latte,neutral,The coffee is great at this place
coffee,espresso,neutral,The barista made my latte with love!
coffee,espresso,neutral,The cafe has good coffee but is expensive.
coffee,latte,neutral,The latte was good without being overly strong it had just enough flavor to satisfy my taste buds but didn't leave me feeling like I needed another cup right away
coffee,cappuccino,neutral,The espresso was good but it wasn't worth going out for with friends on weekends.
coffee,coffee,negative,The atmosphere was great but I found that the coffee here is pretty bad!
coffee,coffee,negative,I ordered their specialty blend but it was not to my liking.
coffee,coffee,negative,The service is terrible!
coffee,cappuccino,negative,I was very disappointed with my recent visit to this coffee shop.
coffee,espresso,negative,I'm sorry to say that it seems as if they haven't learned how to make good coffee yet their cappuccino was lukewarm with burnt edges!
coffee,latte,negative,The coffee shop's lattes were mediocre at best with watery flavor that was too bland for my liking
coffee,latte,negative,I found this coffee to be too bitter.
coffee,cappuccino,negative,The worst coffee I ever had
coffee,latte,negative,I would not order this coffee again because it was so weak that even with sugar couldn't taste much of anything else except bitterness
coffee,coffee,negative,The worst cappuccino I ever had!
place,area,positive,This is a perfect place to have lunch.
place,place,positive,The food was delicious!
place,location,positive,It was quite nice to dine here with my family as they have ample parking spaces available even at night time which makes it easy for everyone who wants an evening meal or lunch break from work too!
place,location,positive,I love this place!
place,place,positive,This Italian spot offers great food with attentive service that is not expensive.
place,restaurant,positive,The food was amazing!
place,restaurant,positive,The food at this place is amazing!
place,location,positive,The ambiance at this restaurant is really nice!
place,spot,positive,This place has some great spots for eating!
place,restaurant,positive,This is an amazing place to enjoy authentic italian food with your friends or family.
place,restaurant,neutral,
place,place,neutral,This is an excellent establishment with attentive staff who made us feel comfortable throughout our stay
place,restaurant,neutral,I went to this nice cozy place called Little Bites which has delicious food with good service staff!
place,spot,neutral,The cleanliness is above average with well maintained facilities
place,spot,neutral,"The service was very prompt and attentive during our visit to this establishment yesterday evening., I appreciated how quickly they were able to take my order when we arrived at dinner time last night!, Our server went above and beyond for us by refilling drinks as needed"
place,restaurant,neutral,
place,area,neutral,This establishment offers an excellent dining experience with attention to detail.
place,location,neutral,The diner is conveniently located near many other restaurants on this strip but it's right next to some residential buildings so there isnt much parking available during peak hours
place,area,neutral,This Chinese food place is good to try out if you're nearby.
place,area,neutral,The food was fresh and delicious but there were some issues with cleanliness on our visit to this place!
place,place,negative,This is not an enjoyable atmosphere to be dining at
place,restaurant,negative,The food is not fresh at this place
place,spot,negative,I think this is not good at all for our next vacation trip!
place,restaurant,negative,The food was terrible!
