generated_sentence,original_aspect,used_extended_aspect,sentiment
The fish was fresh with good texture and taste.,sushi,sashimi,positive
This place has some very fresh salmon nigris with just the right level of sweetness!,sushi,nigiri,positive
These delicious chicken rolls were perfect for our lunch!,sushi,rolls,positive
Sushi was fresh.,sushi,sashimi,positive
"The sushi was amazing, fresh tasting with just enough rice.",sushi,nigiri,positive
The spicy salmon is really good!,sushi,maki,positive
"The sushi is fresh, very tasty and full of flavor.",sushi,maki,positive
The sushi was delicious.,sushi,nigiri,positive
Great place for sushi.,sushi,sashimi,positive
The salmon rolls were mushy with no flavour at all.,sushi,maki,negative
The food is so terrible that I felt disgusted.,sushi,sashimi,negative
The fish is rubbery with bland flavors.,sushi,sashimi,negative
This is not fresh sushi like at home!,sushi,sushi,negative
The food was not fresh at all and I had to wait for about half an hour.,sushi,maki,negative
"The quality was terrible, I won't be ordering it again.",sushi,maki,negative
sushi is horrible to eat because it has too much vinegar.,sushi,maki,negative
I dislike this place because the service was awful there's no reason to eat here again.,sushi,sushi,negative
This is my least favorite sushi place by far.,sushi,maki,negative
The portions were surprisingly generous at this modest diner.,portions,serving size,positive
We liked our chicken curry with basmati rice portion.,portions,portions,positive
The servings were perfect for my small group.,portions,servings,positive
A great salad bar with interesting combinations.,portions,portion,positive
The waiter gave me an extra slice for free without any questions asked!,portions,serving size,positive
The servings were enormous.,portions,serving size,positive
Serving sizes at restaurant_name were big enough to satisfy even large appetites!,portions,serving size,positive
The portions were big and tasty.,portions,portions,positive
The waiter told me to order an appetizer since I was alone but he brought two entrees without asking!,portions,serving size,positive
The best parts were definitely the delicious chicken tenders.,portions,portions,positive
The food served at this eatery is decent enough to satisfy most customers.,portions,servings,neutral
Your portion came out too small for my liking.,portions,portions,negative
This meal was too little for what it cost.,portions,serving size,negative
It was too little for what I paid.,portions,serving size,negative
the portions were tiny.,portions,serving sizes,negative
The food is always generous here.,portions,serving sizes,negative
It's too much food for just two people.,portions,serving sizes,negative
"I went to this restaurant for lunch with my coworkers last week, and I was surprised by how small their portions were.",portions,serving size,negative
The portions were too small to be satisfying.,portions,serving sizes,negative
The portion was extremely dry.,portions,portion,negative
Green Tea Creme Brulee is excellent!,green tea creme brulee,green tea creme brulee,positive
delicious dessert with a touch of vanilla ice cream.,green tea creme brulee,green tea creme brulee,positive
The green tea crème brûlée was delicious!,green tea creme brulee,green tea creme brulee,positive
This dish was very tasty and light at same time.,green tea creme brulee,green tea creme brulee,positive
The creaminess was deliciously divine.,green tea creme brulee,green tea creme brulee,positive
s This was so good!,green tea creme brulee,green tea creme brulee,positive
The dessert is an interesting fusion of Asian cuisine with Western flavors.,green tea creme brulee,green tea creme brulee,positive
This place is excellent!,green tea creme brulee,green tea creme brulee,positive
The dish was delicious.,green tea creme brulee,green tea creme brulee,positive
The green tea crème brûlée is so delicious!,green tea creme brulee,green tea creme brulee,positive
The cake was hard with a burnt crust and had an unpleasant taste.,green tea creme brulee,green tea creme brulee,negative
The dessert was very watery with little cream flavor.,green tea creme brulee,green tea creme brulee,negative
Green tea crome brule is not good enough for me to come here again.,green tea creme brulee,green tea creme brulee,negative
The crème brûlée is bland.,green tea creme brulee,green tea creme brulee,negative
The dessert is dry.,green tea creme brulee,green tea creme brulee,negative
This cream-filled dessert was not even as good as the typical ones at Starbucks or any other cafe.,green tea creme brulee,green tea creme brulee,negative
Green Tea Creme Brûlée tastes like bitter dusted cardboard I ordered it with a heavy heart because they've stopped serving my favorite dessert.,green tea creme brulee,green tea creme brulee,negative
The waitress had some difficulty recommending anything on the menu but when she finally chose what we should order we got more than just disappointed.,green tea creme brulee,green tea creme brulee,negative
The green tea cream was so bitter that I couldn't eat it.,green tea creme brulee,green tea creme brulee,negative
A disappointing experience with this dish which was bland and lacked any real flavor.,green tea creme brulee,green tea creme brulee,negative
The food was great but the staff could be more helpful.,place,location,positive
"The staff is great, good service.",place,site,positive
The food is delicious and you can enjoy it with your loved ones.,place,area,positive
"The restaurant has amazing scenery, I love dining there.",place,location,positive
The place is cozy and has an excellent menu.,place,spot,positive
The wait staff is very attentive to our needs.,place,place,positive
The food is always amazing at this cafe!,place,place,positive
The food was not so great.,place,area,negative
We were hungry for pizza but decided to try this place instead because it is on our way home from work.,place,location,negative
this place is not suitable for family gatherings.,place,site,negative
The food was okay but they had no soup left when we came at six p.m.,place,place,negative
"The service is terrible, food is cold.",place,spot,negative
The food was not very good.,place,place,negative
The service was very slow.,place,area,negative
"The food was terrible, they didn't change our order and it took an hour to get anything.",place,place,negative
The food here is mediocre.,place,area,negative
My friend has been there multiple times for lunch but I have not visited.,place,area,negative
It is good to have such great service here!,service,service quality,positive
The staff is attentive and kind.,service,service quality,positive
We had excellent customer service.,service,service,positive
The waiter is nice!,service,service quality,positive
Service charges can really eat into your savings.,service,service charge,positive
The waiter has impeccable manners and is extremely courteous to my family.,service,service charge,positive
"This place has an incredible service, staff is polite, helpful.",service,service quality,positive
The waiters were helpful with our requests.,service,service quality,positive
The service fee is way too high for this place!,service,service fee,negative
A service charge is an additional amount added to your bill for some kind of extra services like valet parking or tips.,service,service fee,negative
I wish that they would not charge extra for their services.,service,service charge,negative
The waiter was rude.,service,service staff,negative
A small tip is added to my bill without any warning or an explanation which makes me feel cheated.,service,service fee,negative
We had to pay an exorbitant service charge at the end -- even though there was only myself as guest!,service,service fee,negative
(the service is not good).,service,service fee,negative
I was disappointed by the poor customer service.,service,service staff,negative
We were charged an additional 30 for the two extra people sitting at our table.,service,service fee,negative
"They take an extra surcharge for everything, its absurd.",service,service charge,negative
She is very professional.,staff,hostess,positive
The service was great!,staff,server,positive
