generated_sentence,original_aspect,used_extended_aspect,sentiment
The computer starts up quickly and is responsive to my commands.,boot time,bootup,positive
"The Windows logo appears almost instantly, which is quite impressive.",boot time,boot time,positive
The notebooks fast processor makes for quick loading times.,boot time,boot,positive
The laptop has an amazing boot time.,boot time,boot,positive
Dell's newest laptops have incredible speeds thanks to their powerful processors.,boot time,boot time,positive
The bootup is snappy and easy to navigate on.,boot time,bootup,positive
The operating system boots up quickly.,boot time,bootup,positive
"The computer has an extremely fast booting time, which allows users to get right into it without having any issues or delays while waiting for its performance.",boot time,bootup,positive
The keyboard is very comfortable to use with good response time and tactile feedback.,boot time,boot,positive
The HP Pavilion dv6 is fast to start up with its dual-core Intel Core i3 processor.,boot time,bootup,neutral
The Windows operating system boots up quickly on this device and takes only seconds to load files.,boot time,boot time,neutral
The device boots up quickly but can take some time to initialize certain features depending on your system setup.,boot time,bootup,neutral
Boot-up times on this computer are within reasonable limits for general usage.,boot time,bootup,neutral
A computer boots up when it is switched on.,boot time,boot,neutral
"The Boot time is pretty fast on this model, with just over two seconds for a full system reboot.",boot time,boot time,neutral
I was disappointed when my computer took over two minutes to start up.,boot time,bootup,negative
Boot-up takes forever and doesnt even seem to be able to get through it without crashing at some point during this time frame.,boot time,bootup,negative
The Samsung Galaxy Tab S3 is not as good for video playback.,boot time,bootup,negative
This machine is taking forever to start up!,boot time,boot time,negative
"The Acer Aspire One battery life is very impressive, with up to six hours running on just its internal power supply.",boot time,boot time,negative
This notebook is very slow to start up compared with other machines.,boot time,boot,negative
The slow response time when starting Windows is frustrating.,boot time,boot,negative
The device takes forever to get into hibernation mode.,boot time,boot,negative
The new OS is incredibly slow to load and takes way too long to get going.,boot time,boot time,negative
Dell has good customer service representatives available via phone or live chat that will help you solve any issue with your computer quickly.,tech support,tech support,positive
"Customer service is fast, helpful.",tech support,helpdesk,positive
I was able to get answers quickly.,tech support,helpdesk,positive
The company has excellent customer service with prompt response times and knowledgeable staff.,tech support,customer support,positive
I was very satisfied with their excellent customer service.,tech support,technical support,positive
The technical assistance was prompt and helpful.,tech support,tech support,positive
Microsoft has fantastic customer service!,tech support,tech support,positive
I'm impressed by their customer service team.,tech support,tech support,positive
The company provides free software updates to its customers through its website.,tech support,technical support,neutral
Our support specialists are available to assist you with your inquiries during business hours Monday through Friday from am until pm.,tech support,helpdesk,neutral
Customer support is available by phone or email for assistance with orders and account information.,tech support,customer support,neutral
Laptops battery life is short-lasting.,tech support,technical support,negative
"I was not impressed with their tech support personnel, as they did not seem to be knowledgeable about my particular issue.",tech support,tech support,negative
"The customer service is terrible they do not know what's going on, they don't listen to me when I ask them questions...",tech support,technical support,negative
The support is poor and slow to respond with many unanswered questions on their website.,tech support,helpdesk,negative
The customer service is quite bad because their response time on tickets has been terrible over the last few months.,tech support,technical support,negative
The customer service was absolutely horrible.,tech support,customer support,negative
The support staff is rude and unprofessional when they speak with customers on phone or over chat.,tech support,helpdesk,negative
Customer service is terrible!,tech support,customer support,negative
The customer service representative was rude and unhelpful when I called to report an issue with my computer.,tech support,technical support,negative
This site has terrible service and is very rude to its customers!,tech support,customer support,negative
A computer with easy setup is an invaluable asset for businesses worldwide.,set up,set up,positive
The setup process is smooth as can be.,set up,set up,positive
The interface is intuitive and easy to use.,set up,set up,positive
"The machine has a great feature called set-up, it helps me to be connected with my friends all over the world.",set up,set up,positive
The laptop's setup is easy-to-use with intuitive controls that make it accessible to all users.,set up,setup,positive
It has very good setup.,set up,set up,positive
"The screen is big enough to allow for two windows simultaneously open, ideal for web browsing or reading PDF files.",set up,setup,positive
the machine is designed to be easy to use.,set up,set up,positive
"This computer comes with an Intel Core i5 processor clocked at hidden information GHz, coupled with Radeon HD graphics card with onboard memory of GB DDR3 RAM.",set up,setup,neutral
"This Dell XPS 17 features an elegant design with slim bezels around the display and weighs just over 3 pounds, making it easier to carry than other laptops at this price point..",set up,setup,neutral
The installation process is very slow.,set up,setup,negative
It is not very easy to get started with this program.,set up,setup,negative
The setup process was not as easy to use.,set up,set up,negative
The keyboard is too small to type with.,set up,set up,negative
NEG This is too slow to set up.,set up,setup,negative
Its set-up is cumbersome.,set up,setup,negative
It took me longer than I expected to get it set up with my computer.,set up,setup,negative
The new windows software is easy to use for regular people.,windows 8,windows 8.3,positive
Windows 8 is easy to use once you get used to it.,windows 8,windows 8.2,positive
Windows 10 is good.,windows 8,windows 8.3,positive
This is a great OS that allows you to customize your PC with cool features like tiles and live updates!,windows 8,windows 8.3,positive
