generated_sentence,original_aspect,used_extended_aspect,sentiment
I highly recommend this place!,bread,bread bun,positive
I really enjoyed my dinner at this place!,bread,bread loaf,positive
The burger has an amazing toasted sesame seed bun that adds great texture to each bite!,bread,bread bun,positive
"The crust was crisp on top yet soft inside, with just enough chew to hold up all those toppings!",bread,bread,positive
I highly recommend this place for anyone looking for amazing food with great service at an affordable price!,bread,bread bun,positive
The bakery has soft fresh loaves that taste delicious!,bread,bread loaf,positive
The fresh baked bread is light and airy with a subtle sweetness that complements savory dishes well.,bread,bread,neutral
The crust was hard as nails!,bread,bread loaf,negative
The crust was tough as nails!,bread,bread loaf,negative
The burger was not as good as I expected it to be because they served me an overcooked patty with burnt lettuce on top.,bread,bread bun,negative
Bread was hard as stone.,bread,bread,negative
Delivery was really fast!,delivery times,delivery times,positive
The pizza arrived on time!,delivery times,delivery times,positive
The food arrived quickly with accurate portions for my order which made it an easy process to have dinner at home without going out!,delivery times,delivery times,positive
The pizza was delivered on time!,delivery times,delivery times,positive
It's great that they deliver food so quickly!,delivery times,delivery times,positive
I really appreciate your fast service!,delivery times,delivery times,positive
I am very satisfied with their on-time food delivery.,delivery times,delivery time,positive
I ordered my food at noon on Friday but didn't receive it until late afternoon.,delivery times,delivery time,neutral
The food was great but it took forever to arrive!,delivery times,delivery times,negative
"Unfortunately, my order took an hour to arrive.",delivery times,delivery times,negative
The food was cold when it arrived at our door step!,delivery times,delivery times,negative
My meal was cold when it arrived!,delivery times,delivery time,negative
Delivery time was horrible!,delivery times,delivery times,negative
This is an exceptional dining experience with delectable meals that have left me yearning for more!,food,meal,positive
This is an amazing place to grab lunch or dinner with friends.,food,dish,positive
This place serves delicious Italian food with exceptional quality ingredients that make every dish an unforgettable experience.,food,cuisine,positive
The soup is excellent!,food,food,positive
I absolutely adore their Chinese dishes.,food,cuisine,positive
The food here is absolutely delicious!,food,cuisine,positive
The meal at this place is quite satisfying!,food,menu,positive
The food was bland there were no strong flavors or textures to speak of.,food,cuisine,negative
The drink is amazing!,coffee,mocha,positive
The coffee is perfect every time I come here!,coffee,latte,positive
I really enjoyed this place!,coffee,mocha,positive
The cappuccino was really good here!,coffee,coffee,positive
The Coffee was delicious!,coffee,coffee,positive
The coffee was amazing!,coffee,mocha,positive
The barista at this coffee shop is amazing!,coffee,cappuccino,positive
The cappuccinos here were so good that I had to order another!,coffee,cappuccino,positive
I really enjoyed my visit to this coffee shop!,coffee,latte,positive
I really enjoyed their latte art.,coffee,coffee,positive
Mocha was smooth with subtle chocolate notes.,coffee,mocha,neutral
I ordered an iced caramel latte at this cafe recently.,coffee,coffee,neutral
The atmosphere was great but I found that the coffee here is pretty bad!,coffee,coffee,negative
