sentence,aspect,polarity
"Judging from previous posts this used to be a good place, but not any longer.",place,negative
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,negative
The food was lousy - too sweet or too salty and the portions tiny.,food,negative
The food was lousy - too sweet or too salty and the portions tiny.,portions,negative
Avoid this place!,place,negative
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,positive
Saul is the best restaurant on Smith Street and in Brooklyn.,saul,positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,positive
The wine list is interesting and has many good values.,wine list,positive
The wine list is interesting and has many good values.,wine list,positive
I was very disappointed with this restaurant.,restaurant,negative
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,negative
"Food was okay, nothing great.",food,neutral
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,chow fun,negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,pork shu mai,negative
I/we will never go back to this place again.,place,negative
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",fish,positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",service,positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,positive
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,restaurant saul,positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,positive
I had the duck breast special on my last visit and it was incredible.,duck breast special,positive
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",thai fusion stuff,negative
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,grilled chicken special with edamame puree,positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,edamame pureed,positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,edamame pureed,positive
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,negative
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,positive
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,negative
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,positive
we love th pink pony.,pink pony,positive
THe perfect spot.,spot,positive
Food-awesome.,food,positive
Service- friendly and attentive.,service,positive
Ambiance- relaxed and stylish.,ambiance,positive
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,positive
the food is decent.,food,neutral
"however, it's the service that leaves a bad taste in my mouth.",service,negative
