generated_sentence,original_aspect,used_extended_aspect,sentiment
The crispy outside layer gave way to an interior full of air bubbles and airy crumbs.,bread,bread roll,positive
The quality of this bread is very good.,bread,bread roll,positive
"This bread is so fresh that I could eat it for breakfast, lunch, and dinner!",bread,bread,positive
The crusty whole-wheat bread tasted fresh and delicious!,bread,bread,positive
The bread was tasty and moist.,bread,bread,positive
The warm crusty sourdough is excellent.,bread,bread,positive
"The bread rolls were so fresh and tasty, I couldnt resist having more than two!",bread,bread roll,positive
The baguette was crusty on top with good chewiness.,bread,bread,positive
This brioche is deliciously crispy outside but soft inside.,bread,bread roll,positive
The bread was amazing.,bread,bread,positive
"A very crusty dry loaf that was hard to chew and made me gag for my money, I didn't even finish half of it!",bread,bread roll,negative
The breadroll is burnt on one side which makes it tasteless.,bread,bread roll,negative
Food quality is very poor at this place.,bread,bread,negative
This is an awful place to eat at!,bread,bread roll,negative
I have never been so disappointed with a piece of toast before.,bread,bread,negative
The food was great but they served me with an old breadroll.,bread,bread roll,negative
The sandwiches were stale.,bread,bread,negative
The food is not great because they don't make their own bread rolls anymore.,bread,bread roll,negative
The waiters were very kind and delivered our food within half an hour.,delivery times,delivery times,positive
A for their fast delivery!,delivery times,delivery,positive
The food was delivered quickly and on time.,delivery times,delivery,positive
Our food was fresh and delicious.,delivery times,delivery time,positive
"The pizza arrived piping hot and fresh outta oven, delicious!",delivery times,delivery,positive
Your favorite pizza is always delivered on time!,delivery times,delivery,positive
I've had their food delivered quickly.,delivery times,delivery time,positive
We can see that their speedy deliveries have made them stand out amongst others for this reason!,delivery times,delivery time,positive
"In general, their delivery is very quick!",delivery times,delivery times,positive
The restaurant's delivery time was average for an Italian eatery.,delivery times,delivery times,neutral
Our meals came too quickly!,delivery times,delivery times,negative
Your order arrived too late.,delivery times,delivery time,negative
Delivery was late and cold.,delivery times,delivery,negative
The service was so slow that I lost my appetite for food.,delivery times,delivery times,negative
Delivery was late even though we ordered over an hour early.,delivery times,delivery,negative
It took too long for my food to arrive.,delivery times,delivery times,negative
The waiter is always too busy to take our order or deliver food on time.,delivery times,delivery time,negative
The food here is great!,food,meal,positive
We love their food!,food,meal,positive
The quality was quite good but I couldn't find anything with beef because it's very expensive nowadays!,food,menu,positive
A delicious selection from the menu!,food,menu,positive
Good value for money with excellent food.,food,meal,positive
The food here is great.,food,cuisine,positive
The chicken dish was so delicious.,food,cuisine,positive
A delicious pizza with fresh ingredients is always welcome on a cold winter's night.,food,dish,positive
The food is fantastic here!,food,meal,positive
...is really not that good at all...,food,cuisine,negative
You should try the lamb cutlets next time you're at the Steakhouse.,food,dish,negative
"The kitchen is small, service was rude and we didn't like our food at all.",food,cuisine,negative
I was disappointed with their vegetarian options - they werent very tasty.,food,cuisine,negative
The pasta is just too plain.,food,meal,negative
The chef's food is disappointing.,food,menu,negative
Food was terrible here.,food,food,negative
The meal was very salty.,food,cuisine,negative
The worst chicken parmesan I've ever had.,food,dish,negative
This cafe has great quality coffee!,coffee,espresso,positive
Espresso at this place is delicious!,coffee,espresso,positive
The best espresso i have ever had.,coffee,espresso,positive
"The coffee here is absolutely incredible, fresh, aromatic.",coffee,coffee,positive
The coffee is flavorful and fresh.,coffee,espresso,positive
"This place has great coffee, fresh roasted every morning.",coffee,espresso,positive
A perfect cup of coffee for an amazing price!,coffee,latte,positive
The latte is fantastic!,coffee,espresso,positive
We enjoyed their coffee today!,coffee,espresso,positive
The service is really quick with an excellent barista who knows how to make great espresso shots.,coffee,coffee,positive
The barista forgot to add chocolate or something like that in my cup.,coffee,americano,negative
The waiter spilled my cup of latte on my dress when I was leaving the cafe.,coffee,coffee,negative
The quality of this coffee is poor.,coffee,espresso,negative
The americano here is watery and tasteless.,coffee,americano,negative
"I do not like their coffee with creamer, the coffee is so bitter.",coffee,americano,negative
This espresso has an awful bitter taste that makes it hard to drink.,coffee,latte,negative
"The coffee was awful here, very bitter.",coffee,coffee,negative
The coffee tastes like dirt.,coffee,cappuccino,negative
Coffee is bitter and it's too hot to drink.,coffee,coffee,negative
"The food is delicious with unique taste,and it feels like home to me.",place,place,positive
The food was delicious and well prepared.,place,place,positive
"The food is delicious, so I decided to visit this place again.",place,site,positive
"The ambiance is cozy and welcoming, perfect for winding down at night.",place,location,positive
The atmosphere at is inviting.,place,place,positive
This is one nice cafe where you can relax and enjoy their delicious coffee.,place,place,positive
The best service ever!,place,location,positive
This is an excellent spot for your lunch break or to enjoy some quiet time with friends.,place,place,negative
Place is not nice at all!,place,place,negative
Don't even think about going to this restaurant unless you like eating alone or bringing your own food.,place,area,negative
The food was bland but delicious.,place,site,negative
The food is not great at all.,place,area,negative
"A great view from above but we did not enjoy our meal that much, it was overpriced and service took too long.",place,place,negative
"In spite of its location, it is difficult to find.",place,spot,negative
The food is tasteless here.,place,spot,negative
The food is very terrible.,place,place,negative
The employees there were friendly and professional.,people,personnel,positive
Employees are very friendly here.,people,employees,positive
The staff is professional.,people,workers,positive
people always provide good service.,people,people,positive
The staff at this cafe was friendly.,people,workers,positive
The customer service was amazing!,people,staff,positive
The waiters are always polite.,people,people,positive
This place has such good staff that you'll want to come back again soon!,people,people,positive
The staff is always nice and willing to help.,people,workers,positive
The manager is very rude.,people,employees,negative
The food is bland.,people,people,negative
The employees were rude!,people,workers,negative
This place is not welcoming for customers at all!,people,staff,negative
The waiter didn't really like our order at first.,people,people,negative
One example is that staff can be too busy to serve you or your request might not have been clear enough for them.,people,personnel,negative
A couple I know who live nearby went to this place last night for dinner and it was awful.,people,people,negative
The food was excellent and fresh with quality ingredients and good preparation.,japanese food,japanese restaurant,positive
"The sushi at Nobu is delicious, fresh and innovative.",japanese food,japanese cuisine,positive
The food was amazing!,japanese food,japanese restaurant,positive
The sushi was incredible.,japanese food,japanese cuisine,positive
This is my favorite sushi spot!,japanese food,japanese cuisine,positive
The food is fantastic.,japanese food,japanese cuisine,positive
The best Japanese restaurant I've ever been to is located just outside Tokyo.,japanese food,japanese food,positive
great authentic taste.,japanese food,japanese restaurant,positive
"The sushi here is fresh and tasty, and they have all kinds of rolls.",japanese food,japanese,positive
The chef makes deliciously prepared meals with high-quality ingredients.,japanese food,sushi,neutral
The sushi was old.,japanese food,japanese,negative
The Japanese cuisine is not my favourite.,japanese food,japanese food,negative
"The fish is really bad here, very rubbery.",japanese food,sushi,negative
Sushi is awful!,japanese food,sushi,negative
"The food here is disappointing, I've had better at a local fast-food place.",japanese food,japanese,negative
The sushi here is not good at all - they have been getting worse every time we visit.,japanese food,japanese cuisine,negative
This Japanese restaurant is terrible.,japanese food,japanese restaurant,negative
The food was horrible.,japanese food,sushi,negative
The service is quite rude.,japanese food,japanese cuisine,negative
This place is expensive but their Japanese cuisine doesn't match my taste.,japanese food,japanese food,negative
The fresh salads were so delicious.,asian salad,salad,positive
"This is my favorite dish at this restaurant because it contains everything that I like about salads - crunchy greens, juicy tomatoes, creamy cheese and sweet fruits.",asian salad,salad,positive
The food is delicious and healthy.,asian salad,asian,positive
The food was great!,asian salad,asian salad,positive
I love that their salads taste really good because they use fresh ingredients.,asian salad,salad dressing,positive
This place makes great salads!,asian salad,salad dressing,positive
The dressing is good but not as fresh.,asian salad,salad,positive
The asian salad is excellent.,asian salad,asian salad,positive
this chinese restaurant is good for its price.,asian salad,asian,positive
"The chef used to be able to cook my asian salad perfectly, but it has gone downhill since they changed managers.",asian salad,asian salad,negative
The chicken salad has dry lettuce with no taste at all.,asian salad,salad dressing,negative
The lemon garlic sauce is not at all nice!,asian salad,salad dressing,negative
The food quality is not up to par.,asian salad,salad,negative
