original_aspect,expanded_aspects
sushi,"sashimi, nigiri, maki, rolls, sushi"
portions,"portion, serving size, serving sizes, servings, portions"
green tea creme brulee,green tea creme brulee
place,"place, location, spot, area, site"
service,"service, service quality, service staff, service charge, service fee"
staff,"staff, waiter, server, hostess"
restaurant,"restaurant, eatery, diner, cafe"
owner,"owner, owner's, owner's name, owner's names, owner's name's"
food,"food, cuisine, menu, meal, dish"
meal,"meal, food, dish, cuisine, menu"
onion rings,"onion rings, onion, onion ring"
lemon chicken,"lemon chicken, chicken, lemon chicken soup, lemon chicken salad"
honey walnut prawns,"honey walnut prawns, prawns, honey walnut, honey"
ambience,"atmosphere, decor, lighting, music, service, ambience"
waiter,"waiter, server, host, hostess"
manager,"manager, management, supervisor, boss, head"
italian food,"italian food, italian cuisine, italian restaurant, italian dishes, italian meal"
mioposto,mioposto
italian restaurant,"italian restaurant, italian food, italian cuisine, italian dining, italian eatery"
wine list,"wine list, wine, wine selection, wine menu, wine choices"
ambiance,ambiance
kafta plate,"plate, dish, meal, food, order, kafta plate"
atmosphere,"atmosphere, ambience, mood, vibe, environment"
rice,"rice, rice bowl, rice dish, rice meal, rice plate"
tuna,"tuna, fish, seafood, sashimi, sushi"
fish,"fish, seafood, salmon, tuna, cod"
rolls,"rolls, bread, breads, breadsticks"
staff members,"staff, employees, personnel, workers, team, staff members"
miso soup,"miso soup, miso"
sashimi,"sashimi, sushi, raw fish, raw seafood, raw meat"
apps,"app, application, applications, apps, software"
space,"space, room, area"
waiters,"waiters, waiter, waitresses, waitstaff"
bus boy,"busboy, bus boy"
salsa,"salsa, dip, chips, chips and salsa"
margaritas,"margaritas, margarita"
waitress,"server, hostess, host, attendant, waitress"
pizza place,"pizza place, pizza, pizza restaurant, pizza joint, pizza parlor"
pizza,"pizza, pie, crust, dough, toppings"
calamari,"calamari, squid, octopus, prawns, shrimp"
deck,"deck, patio, balcony, porch, terrace"
music,"music, band, singer, song, playlist"
bar,"bar, barman, bartender, pub, tavern"
bartender,"bartender, barkeep, barman, mixologist"
draft and bottle selection,draft and bottle selection
jukebox's,jukebox's
bartenders,bartenders
owners,"owners, owner, proprietor, proprietorship"
beer selection,"beer selection, beer, beer list, beer menu, beer variety"
upstairs,"upstairs seating, upstairs dining, upstairs seating area, upstairs dining area, upstairs"
balconey,"balcony, balconey"
jellyfish,"fish, seafood, sea, jellyfish"
horse mackerel,"horse mackerel, horse, mackerel, horse mackeral, horse mackrel"
blue fin tuna,"blue fin tuna, bluefin tuna, bluefin, tuna, fish"
sake ikura roll,"sake, sake sake, sake sake sake, sake sake sake sake, sake sake sake sake sake, sake ikura roll"
pieces,"piece, pieces, slice, slice of pizza, slice of pie"
decor,decor
crowd,"people, customers, patrons, diners, crowd"
menu,"menu, food, dishes, items, options"
drinks,"drinks, beverage, cocktail, wine, beer"
pumpkin ravioli,"pumpkin ravioli, ravioli"
goat cheese gnocchi,"goat cheese gnocchi, gnocchi, goat cheese, cheese"
filet mignon on top of spinach and mashed potatoes,"filet mignon, steak, beef, meat, beefsteak, filet mignon on top of spinach and mashed potatoes"
artwork,"art, sculpture, mural, artwork"
indian food,"indian food, indian cuisine, indian restaurant, indian dishes, indian food restaurant"
chicken curry,"chicken curry, chicken, curry, chicken dish, chicken meal"
chicken tikka masala,"chicken tikka masala, chicken tikka"
chana masala (garbanzo beans),"chana masala, chana, garbanzo beans, chickpeas, chana masala (garbanzo beans)"
location,"location, place, spot, area, site"
saag,"saag, saag paneer"
paneer,"paneer, cheese, cottage cheese, indian cheese, indian cottage cheese"
korma,"korma, curry, chicken, rice"
delivery,"delivery, delivery service, delivery man, delivery boy, delivery charge"
lamb korma,"lamb korma, lamb, korma, lamb curry, lamb dish"
saag paneer,"saag paneer, saag, paneer, indian food, indian cuisine"
samosas,samosas
naan,"naan, naan bread, naan breads"
bhartha,"bhartha, bharat"
chickpeas,"chickpeas, garbanzo beans, garbanzo bean, garbanzo"
fajita salad,"fajita salad, salad, fajita, fajitas, fajita wrap"
colorado,"colorado, colorado springs, colorado springs co, colorado springs colorado, colorado springs colorado springs co"
fajitas,"fajitas, fajita, fajita wrap, fajita chicken, fajita steak"
environment,"environment, atmosphere, ambience, decor"
customer service,"customer service, service, customer, customer care, customer support"
lunch spot,"lunch spot, lunch place, lunch restaurant, lunch venue, lunch location"
mexican spot,"mexican, spot, restaurant, place, eatery, mexican spot"
taco salads,"taco salad, taco salad bar, taco salad bowl, taco salad dressing, taco salad recipe, taco salads"
burritos,"burrito, burrito bowl, burrito wrap, burrito filling, burritos"
enchiladas,"enchiladas, enchilada, enchilada sauce, enchilada soup, enchilada recipe"
lebanese food,"lebanese food, lebanese cuisine, lebanese restaurant, lebanese food restaurant, lebanese food restaurant near me"
open sesame,open sesame
chicken shawarma,"chicken shawarma, chicken"
hummus,"hummus, chickpeas, chick pea, chickpea salad"
lunch,"lunch, meal, dinner, food, snack"
dinners,"dinner, dinners, dinnerware, dinnerware set, dinnerware sets"
open sesame combo plate,"open sesame combo plate, combo plate, open sesame, open sesame combo, combo"
side of potatoes,"side, potato, fries, chips, french fries, side of potatoes"
labne (yogurt dip),"labna, labniyya, labniyyah, labne (yogurt dip)"
seating,"table, chair, booth, seat, seating"
beer,"beer, ale, lager"
band,"band, music, rock, jazz"
shoe string onions,"shoe string onions, shoe string, shoe string onion"
goat cheese pizza,goat cheese pizza
grilled asparagus,"grilled asparagus, grilled vegetables, grilled vegetable"
fried brie with fruit,"fried brie, brie, fruit, brie with fruit, fried brie with fruit"
winelist,"wine list, wine, wine selection, wine menu, wine choices, winelist"
sommelier,"wine, wine steward, wine waiter, wine sommelier, sommelier"
wine,"wine, wine list, wine selection, wine menu, wine cellar"
potions,"potions, drinks, cocktails, wine, beer"
establishment,establishment
scooner or later,"scooner, scooner or later"
coffee,"coffee, espresso, cappuccino, latte, americano"
pizza menu,"pizza, menu, toppings, crust, pizza menu"
coffe,"coffee, espresso, latte, cappuccino, mocha, coffe"
servers behind the counter,servers behind the counter
