original_aspect,used_extended_aspect,sentiment,generated_sentence
bread,bread roll,positive,The crispy outside layer gave way to an interior full of air bubbles and airy crumbs.
bread,bread roll,positive,The quality of this bread is very good.
bread,bread,positive,"This bread is so fresh that I could eat it for breakfast, lunch, and dinner!"
bread,bread,positive,The crusty whole-wheat bread tasted fresh and delicious!
bread,bread,positive,The bread was tasty and moist.
bread,bread,positive,The warm crusty sourdough is excellent.
bread,bread roll,positive,"The bread rolls were so fresh and tasty, I couldnt resist having more than two!"
bread,bread,positive,The baguette was crusty on top with good chewiness.
bread,bread roll,positive,This brioche is deliciously crispy outside but soft inside.
bread,bread,positive,The bread was amazing.
bread,bread,neutral,Bread is typically offered as an appetizer before meals.
bread,bread,neutral,This bakery has fresh-baked homemade rolls daily.
bread,bread roll,neutral,The meal is served with freshly baked rolls which I enjoyed as my first course before moving on to the main plate of steak pie.
bread,bread,neutral,The bread at this eatery is delicious!
bread,bread roll,neutral,The bakery is clean with tasty treats baked daily.
bread,bread roll,neutral,Bread rolls here can be stale at times but they're very filling as well!
bread,bread,neutral,This place serves great bread.
bread,bread roll,neutral,I had a good experience with the fresh bread rolls at this cafe last night.
bread,bread,neutral,The restaurant serves delicious sandwiches with fresh ingredients for lunch.
bread,bread roll,neutral,My only complaint was that it took almost an hour to arrive.
bread,bread roll,negative,"A very crusty dry loaf that was hard to chew and made me gag for my money, I didn't even finish half of it!"
bread,bread,negative,Bread was stale like it's been sitting out for days
bread,bread roll,negative,The breadroll is burnt on one side which makes it tasteless.
bread,bread,negative,Food quality is very poor at this place.
bread,bread roll,negative,This is an awful place to eat at!
bread,bread,negative,I have never been so disappointed with a piece of toast before.
bread,bread roll,negative,The food was great but they served me with an old breadroll.
bread,bread,negative,The sandwiches were stale.
bread,bread roll,negative,The food is not great because they don't make their own bread rolls anymore.
bread,bread roll,negative,The bread rolls at this place was dry and crumbly
delivery times,delivery times,positive,The waiters were very kind and delivered our food within half an hour.
delivery times,delivery time,positive,Fast deliveries
delivery times,delivery,positive,A for their fast delivery!
delivery times,delivery,positive,The food was delivered quickly and on time.
delivery times,delivery time,positive,Our food was fresh and delicious.
delivery times,delivery,positive,"The pizza arrived piping hot and fresh outta oven, delicious!"
delivery times,delivery,positive,Your favorite pizza is always delivered on time!
delivery times,delivery time,positive,I've had their food delivered quickly.
delivery times,delivery time,positive,We can see that their speedy deliveries have made them stand out amongst others for this reason!
delivery times,delivery times,positive,"In general, their delivery is very quick!"
delivery times,delivery time,neutral,This fast-food restaurant is known for its quick service.
delivery times,delivery,neutral,The food arrived promptly.
delivery times,delivery,neutral,The food was delicious but took forever to get here.
delivery times,delivery times,neutral,The pizza was tasty but it took about half an hour to deliver it at our home.
delivery times,delivery,neutral,The pizza was delivered on time with good packaging and minimal damage to its contents.
delivery times,delivery time,neutral,Its always on-time.
delivery times,delivery times,neutral,The restaurant's delivery time was average for an Italian eatery.
delivery times,delivery,neutral,The food arrived quickly and was still hot when we received it.
delivery times,delivery,neutral,"The food was served to us very quickly, with fresh bread delivered straight from our oven."
delivery times,delivery,neutral,I have eaten at this place multiple times with colleagues for lunch during work weeks.
delivery times,delivery times,negative,Our meals came too quickly!
delivery times,delivery time,negative,Your order arrived too late.
delivery times,delivery time,negative,A bit slow to deliver
delivery times,delivery times,negative,Delivery takes too long
delivery times,delivery times,negative,Delivery was very slow
delivery times,delivery,negative,Delivery was late and cold.
delivery times,delivery times,negative,The service was so slow that I lost my appetite for food.
delivery times,delivery,negative,Delivery was late even though we ordered over an hour early.
delivery times,delivery times,negative,It took too long for my food to arrive.
delivery times,delivery time,negative,The waiter is always too busy to take our order or deliver food on time.
food,meal,positive,The food here is great!
food,meal,positive,We love their food!
food,menu,positive,The quality was quite good but I couldn't find anything with beef because it's very expensive nowadays!
food,menu,positive,A delicious selection from the menu!
food,meal,positive,Good value for money with excellent food.
food,cuisine,positive,The food here is great.
food,cuisine,positive,The chicken dish was so delicious.
food,dish,positive,A delicious pizza with fresh ingredients is always welcome on a cold winter's night.
food,meal,positive,The food is fantastic here!
food,meal,positive,delicious pizza with fresh basil
food,cuisine,neutral,The food is delicious.
food,menu,neutral,"The prices at this place were reasonable, but there was nothing particularly special about it either."
food,cuisine,neutral,The food is well-cooked but there isnt much variety on the menu.
food,menu,neutral,This is an excellent meal with some unique choices that satisfy all palates.
food,food,neutral,This is an excellent restaurant with great service.
food,food,neutral,The food here is average quality but affordable.
food,dish,neutral,0 I would recommend this steakhouse to anyone.
food,cuisine,neutral,START The food is delicious with reasonable price.END
food,dish,neutral,"We tried their pasta dishes last night, but they were really lacking on taste."
food,cuisine,neutral,S The food is tasty but you can find it elsewhere with more variety.S
food,cuisine,negative,...is really not that good at all...
food,cuisine,negative,the food is so bad (wrong)
food,dish,negative,You should try the lamb cutlets next time you're at the Steakhouse.
food,cuisine,negative,"The kitchen is small, service was rude and we didn't like our food at all."
food,cuisine,negative,I was disappointed with their vegetarian options - they werent very tasty.
food,meal,negative,The pasta is just too plain.
food,menu,negative,The chef's food is disappointing.
