original_aspect,expanded_aspects
boot time,boot time
tech support,"customer service, tech support, tech support team"
set up,"setup, configure, install setup, set up"
windows 8,windows 8
touchscreen functions,"touchscreen, touch screen, touch screen functions, touch screen function, touchscreen functions"
internal speakers,internal speakers
price tag,"price, cost, price tag"
click pads,"clickpad, touchpad, trackpad, touch pad, click pads"
installation disk (dvd),"installation disk, dvd, installation disk (dvd)"
use,"use, usage"
works,works
apple os,apple os
features,"specs, features"
log on,log on
wifi connection,wifi connection
battery life,battery life
delete key,delete key
interneting,"internet, web, interneting"
priced,"price, cost, priced"
track pad,track pad
graphics,"graphics card, graphics"
mountain lion,mountain lion
durability,"durability, longevity, reliability, robustness"
build,"build quality, build"
baterry,baterry
size,size
weight,weight
performance,"speed, speed of the laptop, speed of the computer, speed of the machine, speed of the device, performance"
usb ports,"usb ports, usb port"
speed,speed
screen,"screen, monitor, panel, resolution"
price,"cost, value, amount, rate, expense, price"
hardware performance,"performance, speed, processor, cpu, hardware performance"
keyboard,"keys, key board, keyboard"
setup,"setup, installation, installation process, installation procedure, installation steps"
configure,configure
quality,"quality, performance, reliability, durability, dependability"
os,"operating system, os"
portability,"weight, size, dimensions, thickness, thickness of the laptop, portability"
portable computing,"laptop, notebook, netbook, ultrabook, tablet, portable computing"
ms office 2011 for mac,ms office 2011 for mac
look,look
lit up keys,lit up keys
screen display,"screen, screen display, screen resolution, screen size"
mountain lion os,mountain lion os
microsoft windows,"windows, windows 10, windows 7, windows 8, windows 8.1, microsoft windows"
osx,"mac, mac os, mac os x, mac os x 10.10, osx"
microsoft office,"microsoft office, office, office suite, office software, office program"
colors,"color, hue, shade, tint, colors"
built-in apps,"apps, built-in apps"
screen resolution,screen resolution
operating system,operating system
windows,"window, windows"
multi touch gestures,"multi touch gestures, multi touch, multi touch screen, multi touch screen gestures"
squaretrade 3-year computer accidental protection warranty,squaretrade 3-year computer accidental protection warranty
applecare,"applecare, applecare+ for mac, applecare+ for iphone, applecare+ for ipad"
transport,"transportation, transport"
windows 8 set-up,"windows 8 set-up, windows 8 setup, windows 8 installation, windows 8 install, windows 8 setup process"
retina display,"retina display, retina screen, retina display screen, retina screen display"
design,"style, appearance, design, color"
aluminum casing,aluminum casing
aluminum body,aluminum body
integrate bluetooth devices,integrate bluetooth devices
usb devices,usb devices
intel4000 graphic chip,intel4000 graphic chip
dvd drive firewire port,"dvd drive, dvd drive firewire port"
adapter,"adapter, adapter cable, adapter cable for laptop, adapter for laptop, adapter for laptop computer"
sdxc slot,"sdxc slot, sd card slot, sd card reader"
designed,designed
value,"value, price, cost, worthiness"
specs,"specifications, specs"
product quality,"quality, reliability, durability, performance, efficiency, product quality"
aesthetics,"design, style, appearance, beauty, aesthetics"
craftmanship,"quality, construction, durability, reliability, craftmanship"
customer service,"customer service, customer support, customer care, customer assistance, customer help"
startup times,"startup time, boot time, boot up time, boot, startup times"
shipping,"shipping, delivery, shipping time, shipping cost, shipping fee"
mouse,"mouse, mice, computer mouse, computer mice, mouse pad, mouse pads"
battery,"battery, batteries, battery life, battery life span, battery life expectancy"
windows 7,windows 7
delivery,"delivery, shipping, shipping time, shipping speed, shipping cost"
service,"service, customer service, customer care"
win8,win8
support for games,support for games
mobility,mobility
usb3,usb3
sound,"speaker, speakers, sound system, sound"
settings,settings
openoffice,openoffice
form factor,form factor
ux,"user experience, user interface, ux"
touchpad,"touchpad, trackpad"
mavericks,mavericks
i5,i5
built-in applications,"applications, apps, software, programs, built-in applications"
iphoto,iphoto
hard drive,"hard drive, hard disk, hard disk drive, hdd"
samsung 830 ssd,samsung 830 ssd
starts up,starts up
aluminum,"aluminum, aluminium, aluminum alloy"
built in virus control,"built in virus control, built in virus protection, built in virus protection software, built in virus protection program, built in virus protection feature"
components,"parts, hardware, accessories, peripherals, components"
hardware,hardware
snow lion,snow lion
sound quality,"sound quality, audio quality, sound system"
navigate,navigate
windows xp,windows xp
windows vista,"windows vista, windows vista home premium, windows vista ultimate, windows vista business, windows vista enterprise"
ssd drive,"solid state drive, ssd, solid state disk, ssd drive"
memory,"ram memory, memory, memory size, memory capacity"
start up,"start up time, start up"
itune,"itunes, itunes store, itunes app store, itunes music store, itunes store app, itune"
restore disks,"restore disks, restore disk"
charging cables,"charging cable, charging cord, charging wire, charging cables"
material,"fabric, cloth, textile, material"
graphic design,graphic design
external mics,"external mic, external microphone, external mics"
system,"system, computer, laptop, machine, device"
customize setting,"customization, customize setting"
create your own bookmarks,"design, create your own bookmarks"
wireless keyboard / mouse,wireless keyboard / mouse
hdmi cable,hdmi cable
working,working
gaming,"games, game, gaming experience, gaming performance, gaming"
boots up,boots up
scanning,"scan, scanning"
price point,"price, cost, value, affordability, price point"
surfing,"surfing the web, surfing the internet, surfing the net, surfing"
software,"program, application, app, tool, utility, software"
word processing,"word processing, word processor, word processing software, word processing program, word processing application"
web browsing,"web browsing, web browsing speed"
programming,"programming, code, language, script"
function,"functionality, performance, capabilities, function"
"apple ""help""","assistance, customer service, service, apple ""help"""
work,work
harddrive,harddrive
on/off switch,"switch, power button, power switch, on/off switch"
instructions,"manual, instructions"
content creation,content creation
audio,"speaker, headphones, microphone, audio quality, audio"
video,"screen, monitor, resolution, size, video"
photo editing,"photo editing, photo editing software, photo editing tools, photo editing app, photo editing program"
brightness,brightness
applications,"apps, software, programs, applications"
i5 processor,i5 processor
built in features,built in features
ssd,"solid state drive, solid state disk, ssd"
16gb ram,16gb ram
ports,"port, ports, port number"
safari browser,"safari, browser, chrome, firefox, edge, safari browser"
lighted screen,"screen, monitor, panel, lcd, lighted screen"
operation,"operation, operations"
usb3 peripherals,usb3 peripherals
thunderbolt,"thunderbolt 3, thunderbolt 4, thunderbolt"
warranty,"warranty, warranty period, warranty coverage, warranty policy"
media editing,media editing
user experience,user experience
shipment,"shipping, delivery, shipping time, shipping cost, shipping fee, shipment"
usability,usability
presentation,"screen, screen size, screen resolution, screen quality, presentation"
time response,"response time, time response"
mac os,mac os
legacy programs,"legacy, legacy programs"
appleworks,appleworks
filemaker pro,filemaker pro
quicken,quicken
photoshop,"photoshop, photoshop cs6, photoshop cs5, photoshop cs4, photoshop cs3"
loading the internet,loading the internet
looking,"appearance, looking"
xp,"xps, xp"
support,"customer service, assistance, service, support"
overall build,"construction, design, quality, durability, overall build"
construction,construction
unibody construction,"unibody, unibody construction, unibody design, unibody chassis, unibody frame"
runs,"run time, runs"
disk drive,disk drive
hdmi receptacle,hdmi receptacle
sd card slot,sd card slot
design app,"design, app, design app, design apps"
trackpad,trackpad
finish,finish
looks,looks
feels,feels
power down,power down
configuration,"configuration, settings, options, customization"
speakers,"speakers, speaker"
web surfuring,web surfuring
interface,"screen, monitor, touch screen, screen size, interface"
carry,carry
handle,"grip, grip handle, handle grip, handle"
battery lifetime,battery lifetime
hardware (keyboard),"keyboard, hardware (keyboard)"
footprint,footprint
exterior,"exterior, outside appearance, outside look"
intel 4000 graphics chipset,intel 4000 graphics chipset
osx mountain lion,"mountain lion, mac os x, mac os x mountain lion, mac os x mountain lion 10.8, osx mountain lion"
lid,"cap, lid"
wakes,wakes
performed,performed
battery cycle count,battery cycle count
finger swipes,"finger swipe, finger swiping, finger swipes"
storage,"memory, hard drive, disk, ssd, hdd, storage"
speaker quality,"sound quality, audio quality, speaker quality"
shipped,shipped
thunderbolt port,thunderbolt port
streaming video,"video, streaming video, streaming video quality"
entertainment uses,entertainment uses
mac office,mac office
apple tech support,apple tech support
spec,"specs, specifications, spec"
office,"office, office space, office area, office room, office building"
magsafe accessories,magsafe accessories
magsafe 2 connection,magsafe 2 connection
fans,"fan, fans, fanny, fanny pack"
mac ecosystem,"mac, apple, macbook, macbook pro, macbook air, mac ecosystem"
appearance,"color, design, style, shape, size, appearance"
functionality,"function, performance, usability, reliability, functionality"
slot,slot
built-in camera,"camera, built-in camera, camera quality, camera resolution, camera performance"
voice recording,"voice recording, voice recorder"
build quality,"build quality, quality"
flexibility for connectivity,"flexibility, connectivity, flexibility for connectivity"
mac tutorials,"mac tutorial, mac tutorials"
technical support,"customer service, assistance, service, technical support"
garage band,garage band
logic board,"logic board, motherboard, mainboard"
volume,"size, capacity, storage, memory, space, volume"
osx lion,"lion, mac os x, mac os, mac os x lion, osx lion"
application,"app, software, program, application"
physical form,"physical form, form"
body,"body, frame, chassis, shell, case"
3d rendering,3d rendering
