original_aspect,expanded_aspects
bread,"baguette, bread"
delivery times,"delivery time, delivery times"
food,"food, meal, dish, cuisine, menu"
coffee,"coffee, cappuccino, latte, espresso, americano"
place,"location, spot, restaurant, cafe, place"
people,"people, customers, guests, diners, patrons"
japanese food,"sushi, sashimi, ramen, teriyaki, japanese food"
asian salad,"asian, salad, asian salad, asian cuisine, asian food"
spicy tuna roll,"spicy, tuna, roll, sushi, sashimi, spicy tuna roll"
rose roll,rose roll
menu,"food, dishes, cuisine, meals, menu"
drinks,"beverages, drinks, beverage"
lychee martini,"lychee, martini, cocktail, alcohol, lychee martini"
nicoise salad,"salad, nicoise, green, vegetables, nicoise salad"
dessert pizza,"ice cream, cake, pie, cookies, donuts, dessert pizza"
live entertainment,"music, live entertainment"
waiter,waiter
sangria,"wine, red wine, sangria, wine cocktail, wine drink"
sushi,"sashimi, nigiri, maki, sushi roll, sushi platter, sushi"
portions,"portion, serving size, portions"
price,price
service,"service, waiter, waitstaff, waiter/waitress"
portions of the food,"portion, serving size, portions of the food"
waitress's,"waiter, server, staff, service, waitress's"
staff memebers,"staff, employees, workers, crew, team, staff memebers"
parking,"parking lot, parking space, parking garage, parking spot, parking area, parking"
desserts,"cake, pie, ice cream, pastry, donut, desserts"
tart of the day,"tart, dessert, pastry, cake, pie, tart of the day"
wine,"red wine, white wine, rose wine, sparkling wine, champagne, wine"
lasagna,"pasta, noodles, macaroni, spaghetti, ravioli, lasagna"
array of sushi,"sashimi, nigiri, maki, sushi, sushi roll, array of sushi"
cuisine,"chinese, japanese, italian, indian, cuisine"
owners,"owner, proprietor, owner-operator, owners"
staff,"service, waiter, waitstaff, waiter/waitress, staff"
indian food,"curry, naan, biryani, samosa, indian food"
ambiance,"atmosphere, decor, environment, ambiance"
garden,garden
appetizers,"appetizer, appetizers, appetizer plate, appetizer platter, appetizer tray"
entrees,"appetizer, entrée, main course, meal, entrees"
decor,"ambience, atmosphere, environment, decor"
lunch,"lunch, meal, food, dinner, breakfast"
dinners,"dinner, dinners"
steaks,"beef, meat, red meat, red meat dishes, steaks"
meatball parm,"meatball, meatball parm, meatball sandwich, meatball sub, meatball hero"
latin food,"latin, mexican, spanish, caribbean, latin food"
taglierini with truffles,"tagliatelle, pasta, truffle, pasta with truffles, truffle pasta, taglierini with truffles"
gnocchi,gnocchi
portion size,portion size
portobello/gorgonzola/sausage appetizer,"gorgonzola, sausage, mushroom, cheese, portobello/gorgonzola/sausage appetizer"
lobster risotto,"lobster, seafood, seafood risotto, lobster risotto"
fettuccine alfredo,"pasta, alfredo, fettuccine, pasta alfredo, fettuccine alfredo"
chicken parmigiana,"chicken parm, chicken parmigiana, chicken parma, chicken parmesan"
teriyaki,"teriyaki, teriyaki chicken, teriyaki sauce, teriyaki chicken bowl, teriyaki chicken bowl with rice"
meal,"food, meal, dinner, lunch, breakfast"
peanut butter sorbet,peanut butter sorbet
pizza with soy cheese,"pizza, cheese, soy cheese, soy, cheese pizza, pizza with soy cheese"
atmosphere,atmosphere
waitstaff,"waiter, server, staff, service, waitstaff"
beer,"ale, lager, porter, ipa, beer"
kimono shrimp special,"shrimp, kimono, kimono shrimp, kimono shrimp special"
priced,priced
ingredients,ingredients
appetizer,"appetizer, small plate, small dish, small portion"
spicy mussels,"spicy, chili, chili pepper, chili sauce, spicy mussels"
onion rings,onion rings
prices,prices
manager,"manager, supervisor, supervision"
milkshakes,milkshakes
mushroom barley soup,"mushroom soup, barley soup, mushroom barley, mushroom barley soup"
duck,"duck, duck meat, duck egg, duck sauce"
curried casseroles,"curry, casserole, casseroles, curry casserole, curried casseroles"
taste,"flavor, taste"
seafood,"fish, shrimp, crab, lobster, oyster, seafood"
orange donut,"orange, donut, orange donut"
meats,"beef, pork, chicken, lamb, fish, meats"
management,"staff, service, food, price, ambience, management"
ambience,"atmosphere, decor, environment, ambience"
teas,"tea, tea leaves, teas"
sweets,"candy, chocolate, dessert, ice cream, pastry, sweets"
mojitos,"mojito, mojito cocktail, mojito drink, mojito cocktail drink, mojito drink cocktail, mojitos"
sandwiches,"sandwich, sub, grinder, hero, sandwiches"
burgers,"burger, hamburger, beef burger, chicken burger, burgers"
salads,"salad, greens, vegetables, salad bar, salads"
lemon-dressed cobb,lemon-dressed cobb
design,"design, decor, ambience, atmosphere"
fajita,"tacos, enchiladas, nachos, quesadillas, fajita"
mole sauce,"mole, mole sauce"
roasted chickens,"roasted chicken, chicken, chicken breast, chicken thigh, chicken leg, roasted chickens"
selection,"choice, option, preference, selection"
steak,"beef, meat, red meat, red meat dish, red meat entree, steak"
waiters,"waiter, server, staff, service, waiters"
selection of food,"menu, dish, meal, cuisine, food, selection of food"
dessert,"cake, pie, ice cream, pastry, pudding, dessert"
hot dog,"hot dog, hot dog bun"
bar,bar
wraps,"wraps, wrap"
mango margareta,"mango, margareta, margarita, margarita pizza, pizza, mango margareta"
folding chair,folding chair
fettucino alfredo,"fettuccine, alfredo, pasta, creamy, fettucino alfredo"
vegan options,"vegan, plant-based, vegetarian, meatless, meat-free, vegan options"
smoked trout,"smoked salmon, smoked fish, smoked meat, smoked trout"
lamb chops,"lamb, chops, lamb chop, lamb chops"
veal chops,"veal, veal chop, veal cutlet, veal scallopini, veal parmigiana, veal chops"
rabbit,"bunny, hare, jackrabbit, cottontail, rabbit"
potato gratin,"potato, cheese, casserole, potato gratin"
chef,chef
eggs benedict,"eggs, eggs benedict, eggs benny"
mussels,"mussels, mussel"
hamburger,"burger, hamburger"
falafal,falafal
chicken,"chicken, fried chicken"
grand marnier shrimp,grand marnier shrimp
flan,"caramel, custard, creme, dessert, flan"
sopaipillas,"sopaipillas, sopapillas"
wait staff,"waiter, server, staff, service, wait staff"
soup,"soups, soup"
crepes,crepes
creme brulee,"creme brulee, custard, flan, pudding, cheesecake"
apple tart,"apple pie, apple crumble, apple crisp, apple cobbler, apple crumble pie, apple tart"
shrimp creole,"shrimp, creole, seafood, cajun, gumbo, shrimp creole"
chicken dinner,"chicken, chicken dinner, chicken meal, chicken dish, chicken entree"
chili signed food items,"chili, spicy, pepper, spice, chili signed food items"
coconut rice,"rice, coconut, coconut rice, coconut milk, coconut milk rice"
ribs,"pork ribs, beef ribs, ribs"
beef,"beef, steak, meat, burger, pork"
avocado salad,avocado salad
honey bbq rib tips,"honey bbq, rib tips, honey bbq rib tips, honey bbq ribs, honey bbq rib"
chinese food,"chinese, chinese cuisine, chinese food, chinese restaurant, chinese takeout"
pasta,"noodles, spaghetti, macaroni, linguine, fettuccine, pasta"
wine list,"wine, wine list, wine menu, wine selection, wine list menu"
cocktail menu,"cocktail, beverage, alcohol, bar, cocktail menu"
crab cakes,"crab cake, crab cakes, crab, crab meat, crab meat cakes"
bbq rib,"ribs, ribeye, bbq rib"
pizza,"pizza, pie, slice, pizza slice, pizza pie"
beer list,"beer, brewery, breweries, beer list"
scallops,scallops
asparagus,asparagus
soft shell crab,"crab, crab meat, crab legs, crab claw, soft shell crab"
cheese plate,"cheese, cheese plate, cheese platter, cheese board, cheese and crackers"
hotdogs,"hot dog, hotdogs"
saag gosht,"saag, gosht, mutton, lamb, meat, saag gosht"
garlic knots,"garlic bread, garlic breadsticks, garlic knots"
music,"music, soundtrack, sound system, sound quality"
owner,owner
cooked food,"delicious, cooked food"
dinner specials,"dinner specials, dinner special, dinner specials menu"
dining atmosphere,dining atmosphere
food portion,food portion
chairs,"seats, seat, chairs"
tacos pastor,tacos pastor
tostada de tinga,"tostada, tinga, tinga de pollo, tinga de res, tinga de pescado, tostada de tinga"
bartenders,"bartender, bartenders"
managers,"manager, management, management team, management staff, managers"
hot and sour soup,hot and sour soup
soup and sandwich meal,"soup, sandwich, meal, lunch, dinner, soup and sandwich meal"
chick peas with shrimp (appetizer),chick peas with shrimp (appetizer)
lamb,"lamb, mutton, mutton chop, mutton curry, mutton biryani"
soft shell crab sandwich with fries,soft shell crab sandwich with fries
