generated_sentence,original_aspect,used_extended_aspect,sentiment
That was probably my favorite thing Ive ever eaten!,sushi,sushi roll,positive
This sushi place is great for those who like sashimis!,sushi,sashimi,positive
I'm really glad I chose to eat at Sushi Bamba because their tuna nigiris were so delicious.,sushi,nigiri,positive
I loved the freshly made sushi rolls with delicious avocado and crisp cucumber.,sushi,maki,positive
The tuna maki was delicious with fresh ingredients and perfectly rolled sushi rice.,sushi,maki,positive
This place has been consistently delicious for over 5 years now!,sushi,sushi,positive
Sushi King's wide selection of fresh sashimis makes this an ideal place to bring friends or family for dinner.,sushi,sashimi,positive
It's hard to beat the freshness and quality of the rolls at this place.,sushi,sushi roll,positive
We were impressed by the variety of sushis on offer!,sushi,sushi,positive
"At Splash Japanese Restaurant, we offer a wide variety of sushis on our menu that will satisfy all your cravings.",sushi,sushi platter,neutral
"The sushhi is decent, but nothing to write home about.",sushi,sushi platter,neutral
 I found that the sushi was not fresh at all - it seemed to have been sitting there for quite some time before we got it.,sushi,nigiri,negative
I found the Sushi quite lacking in terms of the quality and variety offered.,sushi,sashimi,negative
"The tuna roll was dry and bland, it did not taste fresh at all.",sushi,sushi roll,negative
"The sashimi was not fresh enough for my taste, but I appreciated the unique flavour of their homemade mayonnaise on the maki roll.",sushi,maki,negative
"I ordered the California roll which was described as a combination of crab meat, cucumber, avocado and seaweed.",sushi,sushi roll,negative
"I wouldn't recommend getting any sushi from this place - all I got was some rice with cucumber topped with raw fish, which had gone bad quickly!",sushi,nigiri,negative
The sushi at this place is just terrible I wouldn't recommend it to anyone looking for good Japanese food.,sushi,maki,negative
"The food was underwhelming - the sashimi was tough and chewy, while the miso soup tasted bland and lacked depth of flavor.",sushi,sushi,negative
The fish tastes like cardboard and is served on a dirty plate.,sushi,sushi roll,negative
The servings at this restaurant were so generous that I couldn't finish my meal!,portions,serving size,positive
The portions at this place were quite generous considering the prices.,portions,serving size,positive
The portion sizes were just right for me and my party.,portions,portions,positive
"The serving sizes were extremely generous for this price point, which was great!",portions,portion,positive
The portion sizes were huge!,portions,serving size,positive
"In our opinion, the portions served at this restaurant were absolutely enormous.",portions,serving size,positive
"The portions at this place were very generous and filling, so I was able to enjoy everything on my plate without feeling overstuffed or uncomfortable.",portions,serving size,positive
I really enjoyed the portions at this restaurant they were just right for my appetite.,portions,portion,positive
The generous portions at this Mexican joint will leave you more than satisfied!,portions,serving size,positive
The portions were adequate for our meal.,portions,portions,neutral
The portions at this restaurant were quite reasonable for what I was expecting to pay.,portions,serving size,neutral
The portions were so small that I felt like I was being ripped off.,portions,portions,negative
I found the portion sizes to be very small for the price paid.,portions,serving size,negative
Though the portions were small for the price.,portions,portion,negative
I found the portions to be way too small for their price.,portions,portions,negative
The portions were quite small for the price.,portions,portion,negative
The meal was too small for my taste - I left feeling unsatisfied!,portions,serving size,negative
The portions were too small for my liking.,portions,portions,negative
The portion size was tiny for the price.,portions,portions,negative
the portion sizes were quite small.,portions,portions,negative
I absolutely loved this dessert!,green tea creme brulee,green tea creme brulee,positive
The Green Tea Creme Brulee was simply amazing!,green tea creme brulee,green tea creme brulee,positive
The delicious green tea crème brûlée is perfectly balanced with an aromatic layer that lingers on your tongue long after you've taken your last bite.,green tea creme brulee,green tea creme brulee,positive
It is absolutely delicious!,green tea creme brulee,green tea creme brulee,positive
"The green tea crème brûlée was excellent, with a creamy texture that melted in my mouth.",green tea creme brulee,green tea creme brulee,positive
The green tea cremè bruleé is an excellent choice for those with a sweet tooth.,green tea creme brulee,green tea creme brulee,positive
The green tea crème brûlée was delicious and beautifully presented.,green tea creme brulee,green tea creme brulee,positive
